,case,Temp,Pressure,f11,f12,f13,f21,f22,f23,f31,f32,f33,p11,p12,p13,p21,p22,p23,p31,p32,p33
0,2.0,300.0,11.124198,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.031344668928477974,-0.005197772085505165,-0.0021571396499681077,-0.005197772085505165,-0.006680753380814024,-0.0007498391496008622,-0.0021571396499681077,-0.0007498391496008622,0.03464394398984107
1,2.0,300.42593,46.935546,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999899955796259,-0.007041901423041624,0.006854433183619602,-0.0008143408169841812,0.006854433183619602,-0.017415587735947993,-0.001064539502836869,-0.0008143326699763204,-0.0010645288527361776,0.01019049943572399
2,2.0,300.33083999999997,38.111075,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999799911592517,-0.012676385620480604,0.0014155330324382832,-0.003869294002544587,0.0014155330324382832,-0.014084298860658118,0.008002139726324702,-0.0038692165824570817,0.008001979612785273,0.015176405282294586
3,2.0,300.10708,120.70622,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999699867388775,0.01193565903818989,0.005630696777753231,-0.005246029033442755,0.005630696777753231,-0.021774153937523678,0.00992492698981403,-0.005245871583003518,0.009924629110388664,-0.026852886652173575
4,2.0,298.57164,182.44789,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999600152277809,0.007430895716148181,0.003687018311637594,-0.013303016291655485,0.003687018311637594,-0.03333687710848696,0.008101181174574331,-0.013302484373579239,0.00810085725069036,-0.02955258515236307
5,2.0,298.78238999999996,178.34903,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999500108074066,-0.006948982012629442,0.01289879901029337,0.01130628537959349,0.01289879901029337,-0.019130865207349575,0.0018735544543804282,0.011305720187516133,0.001873460796905974,-0.028132498925211472
6,2.0,299.63561,375.13275,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999400063870325,-0.060674269465160094,-0.0030514497067714703,-0.0009291842855783494,-0.0030514497067714703,-0.031708010773267084,-0.002997027622783597,-0.0009291285404559448,-0.0029968478202683424,-0.021643167030764278
7,2.0,300.07066000000003,584.3505700000001,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999300019666584,-0.07290739466490956,0.004829726643757647,0.01024456240805959,0.004829726643757647,-0.05125250846689558,-0.00936793429059313,0.010243845308838581,-0.009367278553616316,-0.05345938634378065
8,2.0,299.91083,409.6132,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999199975462844,-0.052691727118699926,-0.006929742681292328,0.01020221868638059,-0.006929742681292328,-0.026541178740308688,-0.002814763586845537,0.010201402483852337,-0.00281453839885196,-0.04527293956534125
9,2.0,300.29437,249.44772999999998,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999099931259101,-0.0025232798404513255,-0.007528599192255743,0.014555830126048587,-0.007528599192255743,-0.04057858030971958,0.008552416603882802,0.014554520001279159,0.008551646827598371,-0.03272014175372657
10,2.0,299.48748,317.13629,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9998999887055359,-0.02888463417188243,-0.016487798584870723,0.004421074847226116,-0.016487798584870723,-0.030205650476504524,0.005009612251210235,0.004420632689807722,0.005009111233404228,-0.03730531630499807
