,case,Temp,Pressure,f11,f12,f13,f21,f22,f23,f31,f32,f33,p11,p12,p13,p21,p22,p23,p31,p32,p33
0,9.0,300.0,133.47647,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.026639171941081577,0.002226226486836448,-0.0026185497314807375,0.002226226486836448,-0.0012696129131010388,-0.006828949719239863,-0.0026185497314807375,-0.006828949719239863,-0.012664730536911589
1,9.0,300.51357,-107.52428,1.0000100096746976,0.0,1.5276178857159817e-06,0.0,1.0,0.0,0.0,0.0,1.0,0.028026741040146796,0.0026312628724795917,-0.0007249090338432187,0.0026312514997244713,0.004355801407073539,-0.009796439658641288,-0.0007249022394541629,-0.009796439658641288,0.0003022002771982368
2,9.0,300.3794,68.81360600000001,1.000019986314165,0.0,3.0501941282734535e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.0012355562319865652,0.012637383187100351,-0.008480254623189947,0.012637155456696572,0.0004895617626721576,-0.008143663742120031,-0.008480023610286694,-0.008143663742120031,-0.020171990589214334
3,9.0,299.0152,191.24749,1.0000299959888626,0.0,4.577812013989435e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.027116354796839506,0.01184662702976964,0.013461456687345646,0.011846240236289787,-0.009670769902957248,0.006870922083607178,0.013461150635455556,0.006870922083607178,-0.021348328447867354
4,9.0,298.5157,-147.30929,1.0000400056635599,0.0,6.105429899705417e-06,0.0,1.0,0.0,0.0,0.0,1.0,0.0021414887509435083,0.006820335546396828,-0.01647458580122109,0.006820063625359163,0.009141837793299632,-0.00015070735462709766,-0.01647413125519666,-0.00015070735462709766,0.033496826818923256
5,9.0,298.75703,-102.09555999999999,1.0000500153382572,0.0,7.633047785421399e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.003637361101518723,-0.017808985113639007,0.003404585838935755,-0.017808089432908798,0.007858261226097823,-0.0006554542365258543,0.0034042108936504986,-0.0006554542365258543,0.02681530781219712
6,9.0,299.64148,465.03809,1.0000599919777249,0.0,9.15562402797887e-06,0.0,1.0,0.0,0.0,0.0,1.0,-0.03264695353063269,-0.0061528291769985324,-0.01827853851448729,-0.006152407944732283,-0.0606568079280788,-0.005694548587312814,-0.018277001998266436,-0.005694548587312814,-0.04806255944414776
7,9.0,300.19973,637.44302,1.0000700016524222,0.0,1.0683241913694852e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.044173371780246065,-0.004638141905813124,0.0026631118340902983,-0.0046378973632973716,-0.07483210933172571,0.007499405525864638,0.0026637241740240835,0.007499405525864638,-0.0747717812642534
8,9.0,299.76238,393.85048,1.0000800113271198,0.0,1.2210859799410834e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.010926102376412783,0.013162255866213782,-0.0037687637623585054,0.013161130133252081,-0.046814015326637475,0.00595318221143755,-0.0037677053611803826,0.00595318221143755,-0.06198925255167544
9,9.0,299.73559,283.64815,1.0000899879665872,0.0,1.3733436041968305e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.02505891063940085,-0.007105396448379974,0.010441356071495418,-0.007104924035606565,-0.02852424172391756,0.012156090639053898,0.010440864839749658,0.012156090639053898,-0.032644448862714344
10,9.0,299.79942,127.61498,1.0000999976412848,0.0,1.5261053927684287e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.038248655938209315,-0.0052121012969654065,0.005626869276968337,-0.005211599414012322,-0.007673112476355637,0.0012623437233694169,0.005626197861261746,0.0012623437233694169,0.007129860858797575
11,9.0,300.23451,101.49741,1.000110007315982,0.0,1.678867181340027e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.0409142890306925,-0.01260726973695794,-0.004780474610230134,-0.01260609312223206,-0.011397023166946517,0.012517234588637578,-0.004780309023174835,0.012517234588637578,0.021459822069944127
12,9.0,299.81687,324.06537000000003,1.0001199839554495,0.0,1.831124805595774e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.0354774532490132,0.006149245821707382,0.0054566547218619435,0.0061486326571704,-0.03492783283746831,-0.00680307150288217,0.0054565147597148795,-0.00680307150288217,-0.02811015804074432
13,9.0,300.17561,256.57922,1.000129993630147,0.0,1.9838865941673722e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.020916866597561517,-0.005114852478026009,0.0038450736112898803,-0.005114152296714497,-0.009497507205876908,-0.0017830701332098556,0.003845517786554888,-0.0017830701332098556,-0.04758679677826749
14,9.0,299.8524,67.253941,1.0001400033048444,0.0,2.136648382741746e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.03336681936402344,-0.005575313173542384,-0.0040370029284991366,-0.005574430650513202,-0.03118964363692306,-0.004777777958557217,-0.00403595439770367,-0.004777777958557217,-0.022628142538178568
15,9.0,300.02542,438.18037000000004,1.000150012979542,0.0,2.2894101713105686e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.044172593817558274,0.011767712345520301,0.006298312398220453,0.011765697375409485,-0.04713418194636237,0.010918217900615586,0.006298326890195387,0.010918217900615586,-0.041902616223325626
16,9.0,300.33021,744.52608,1.0001599896190094,0.0,2.4416677955690913e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.10698612134855537,0.013493603837702862,0.021663656051343454,0.013491212892218501,-0.06226489032389441,0.009521830700283963,0.021661584271950637,0.009521830700283963,-0.05708594856847859
17,9.0,300.26968,325.91699,1.0001699992937068,0.0,2.594429584137914e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.04522276980996689,0.00930335278544704,0.013136607832484827,0.009301891358361824,-0.03899941379395609,-0.004620972431704289,0.01313476041120797,-0.004620972431704289,-0.014857937113112323
18,9.0,299.94451000000004,187.18874,1.0001800089684043,0.0,2.747191372709512e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.004846803088247206,0.009422113061648281,0.006409047523881676,0.0094205887917842,-0.03335074895905844,-0.006243489543287667,0.006408674328503009,-0.006243489543287667,-0.028408049173430816
19,9.0,299.95293,351.83419,1.0001899856078718,0.0,2.8994489969652593e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.027102639775378367,0.0019728115569730433,0.017166922141295473,0.001972125427089906,-0.03416325351612391,0.010741849068513179,0.01716498604808004,0.010741849068513179,-0.04569858253781898
20,9.0,299.32181,230.68388,1.000199995282569,0.0,3.0522107855368574e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.0020765911423933393,0.00527762236275463,0.001583439750325448,0.00527673339466979,-0.03820060436211941,-0.005450269105170001,0.0015841610622981184,-0.005450269105170001,-0.034012615278047616
21,9.0,299.43855,160.89753000000002,1.0002100049572666,0.0,3.204972574111231e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.03284978554941435,-0.0068542882803160395,0.006244177642583545,-0.006852583751446378,-0.009316005241488762,-0.008282514300361168,0.006243082791339122,-0.008282514300361168,-0.006746612814482644
22,9.0,300.29064,405.88241,1.000220014631964,0.0,3.357734362680054e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.07440104941094071,-0.006258612800767576,-0.000166461982353129,-0.0062568976878114805,-0.0402185208167844,-0.010081319053637763,-0.00016613098077699828,-0.010081319053637763,-0.008769315786561097
23,9.0,299.83762,304.19826,1.0002299912714316,0.0,3.5099919869385765e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.03796685888317254,-0.009069876885338161,-0.016929021678828822,-0.00906843383042602,-0.03870438087962955,0.018307896906978594,-0.016924574266602082,0.018307896906978594,-0.01580937719485658
24,9.0,300.74318999999997,172.55811,1.000240000946129,0.0,3.662753775507399e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.010200584858987179,-0.008949228676176637,-0.009920834583904276,-0.008947309552935618,-0.04500477419752395,0.00623136391308172,-0.009917807317725898,0.00623136391308172,-0.017663841968450694
25,9.0,300.91415,413.23671,1.0002500106208265,0.0,3.815515564081773e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.011569864032711681,0.011267780387915434,-0.002818840247030062,0.011264786556887297,-0.05282821932362749,0.004652444593402115,-0.002815799494287963,0.004652444593402115,-0.06124396357878792
26,9.0,299.89041000000003,318.37032,1.000259987260294,0.0,3.9677731883347445e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.0179119698557125,0.011221395814087196,-0.0010713342764220868,0.01121866635474024,-0.03238961309454127,-0.00471929653932975,-0.0010692114588867145,-0.00471929653932975,-0.046495504907521995
27,9.0,299.7207,50.589927,1.0002699969349915,0.0,4.120534976909118e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.014529431197266207,0.007668948505350294,-0.007175270042547975,0.007667192539130337,-0.019891339619918402,-0.007624065014838013,-0.007174117716457868,-0.007624065014838013,0.019042762869414403
28,9.0,300.30984,104.17501999999999,1.0002800066096889,0.0,4.2732967654807164e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.043528164937100336,0.000516405027110077,0.021618675297216124,0.0005172822460731409,-0.0022672441338796303,-0.0239173983724959,0.021612019920620656,-0.0239173983724959,0.014131201320894935
29,9.0,300.36664,257.81602999999996,1.0002900162843862,0.0,4.426058554049539e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.031853765397145295,-0.0061483568168588035,0.02081791622095803,-0.006146276315220873,-0.010248004795925286,-0.006732432807672492,0.020813485845954112,-0.006732432807672492,-0.03628227703362071
30,9.0,299.63497,223.45942000000002,1.0002999929238539,0.0,4.578316178308062e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.01118160150414199,-0.001280643099226602,0.002868980739663357,-0.0012804092313983013,-0.019293719277996918,0.003281684246007935,0.0028698352091324634,0.003281684246007935,-0.037467917410338974
31,9.0,299.80622999999997,343.95526,1.0003100025985512,0.0,4.731077966876884e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.023881285990521056,0.0008477308749396432,0.0054942172770373705,0.0008466619541098587,-0.011331642801812258,0.017045870509049505,0.005495795332761122,0.017045870509049505,-0.06936614828562156
32,9.0,300.0867,380.91508999999996,1.0003200122732487,0.0,4.883839755451258e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.03549814683122182,-0.00644860815340207,-0.005923597315740504,-0.006446545055289345,-0.0294891197219554,-2.5507589855570647e-06,-0.005919220792339204,-2.5507589855570647e-06,-0.050826812999181264
33,9.0,300.07534,133.22637,1.0003299889127162,0.0,5.0360973797042297e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.03391409293077136,0.008668959638268017,0.013607040964402108,0.008666250835542894,-0.0071659607505503275,-0.002997637933515479,0.01360252308801186,-0.002997637933515479,0.0005797065472644576
34,9.0,300.10955,170.25355,1.0003399985874137,0.0,5.1888591682786034e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.04310046021344405,0.018594074734385926,-0.010923585062621524,0.01858751507969221,-0.007246477709212303,0.004623864616615211,-0.010919799273462458,0.004623864616615211,-0.0014082639146156385
35,9.0,299.02757,312.15285,1.000350008262111,0.0,5.3416209568502016e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.027870264513049227,0.008558613416794139,0.008041534713484948,0.00855475686321981,-0.03329241549795945,0.016143376679420902,0.008040523147663394,0.016143376679420902,-0.03374787777692784
36,9.0,299.09051,20.752182,1.0003599849015787,0.0,5.493878581105949e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.02064732969941802,-0.004948791874859128,-0.009373742930161574,-0.004947526632302335,-0.00029329263083279736,0.009388491634466917,-0.009368904973125619,0.009388491634466917,-0.026671370320105844
37,9.0,299.87068999999997,-9.6405162,1.000369994576276,0.0,5.646640369677547e-05,0.0,1.0,0.0,0.0,0.0,1.0,0.03804468680770759,-0.012934591867621243,0.0075774536088077694,-0.012930210692144195,-0.012958947249050154,0.00713578912018441,0.007575902351839628,0.00713578912018441,-0.022168683154668585
38,9.0,299.96211,330.54747000000003,1.0003800042509736,0.0,5.799402158249145e-05,0.0,1.0,0.0,0.0,0.0,1.0,-0.03116751117867176,-0.004731276623640686,-0.0015745807240954727,-0.004728889878913283,-0.030611820739998446,-0.010169090794818699,-0.0015717376332205176,-0.010169090794818699,-0.038725093236062026
