,case,Temp,Pressure,f11,f12,f13,f21,f22,f23,f31,f32,f33,p11,p12,p13,p21,p22,p23,p31,p32,p33
0,11.0,300.0,41.012954,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.017653522119766982,-0.00999669883812236,-0.005640731389321845,-0.00999669883812236,0.021599066333411878,0.004177331456170516,-0.005640731389321845,0.004177331456170516,-0.016412457933533485
1,11.0,300.49066,-77.78235699999999,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000100044203741,-0.0032415492967351966,-0.007279661273627403,-0.0027747966459261073,-0.007279661273627403,0.020046128757021678,0.0022775260221743173,-0.002774824406158206,0.0022775488075020564,0.006839483467279462
2,11.0,299.85697000000005,-14.268502999999999,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000200088407483,-0.01723477354709505,0.002535753593404037,0.012477340063417589,0.002535753593404037,0.01632183416575355,0.01059701942884439,0.01247758972052788,0.010597231462918548,0.005250189944978404
3,11.0,299.44106,114.44421000000001,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000300132611224,0.0028546653300696523,-0.0010083096303388996,0.0100986291637321,-0.0010083096303388996,0.00311796464958855,0.005261242578394215,0.01009893225652617,0.005261400485441548,-0.04076063289501125
4,11.0,298.94099,194.98638,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.000039984772219,-0.011321572033436405,0.019845772933029422,-0.003121714937689277,0.019845772933029422,-0.033496330620047095,-0.007778024002956203,-0.0031218397587499933,-0.007778335005474275,-0.014454880018585588
5,11.0,299.00757000000004,327.91112999999996,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000499891925934,-0.040811381879868,0.012748944735756752,0.002234340998937288,0.012748944735756752,-0.02888993197675536,-0.002024814658458648,0.002234452691839803,-0.0020249158773085756,-0.029978966873943674
6,11.0,299.73242,554.85581,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000599936129675,-0.06229264646016685,0.013893831878800411,-0.014916097278604186,0.013893831878800411,-0.06824242800605729,-0.0025482691846695875,-0.014916992149171304,-0.0025484220645447895,-0.03813506782513817
7,11.0,299.98562999999996,478.00586,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000699980333416,-0.06598255057451631,0.0056206955495771834,0.011365259575163789,0.0056206955495771834,-0.05113912323643853,0.01949188913394968,0.011366055120982467,0.019493253527855168,-0.028188368522475374
8,11.0,299.98,268.12461,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000800024537158,-0.03723112754716587,-0.005321162851245789,0.007843753131643164,-0.005321162851245789,-0.016932121273321506,0.007038354165731474,0.007844380651140034,0.007038917251334853,-0.02734426938091927
9,11.0,300.12473,253.30521000000002,0.9999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000900068740897,0.010647581356753606,-0.002887493840677192,0.011444496746233887,-0.002887493840677192,-0.03106705099954202,0.01109146723914259,0.011445526829611545,0.011092465547437853,-0.05658082689334285
