,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,1.0,300.0,149.82622,0.0,0.0,0.0,0.0,0.0,0.0,-0.009295542535873622,-0.017348715211434884,-0.01889917126270298,-0.02314068887030818,-0.015225639104653587,0.0072585791100409835
1,1.0,300.79689,-162.3168,0.0,-9.995987419131325e-06,0.0,0.0,0.0,0.0,0.02226138435402758,0.014751610310370587,0.012327258471855687,-0.017170365968583182,0.01990783032649988,0.003418105588040757
2,1.0,300.58426000000003,-23.824701,0.0,-1.9991974838484694e-05,0.0,0.0,0.0,0.0,0.01089654527765529,0.0027323733841142575,-0.006386804257903504,-0.0007727294927424633,0.017576769437942084,0.009191467869077251
3,1.0,299.32966,282.65583,0.0,-2.9987962257949086e-05,0.0,0.0,0.0,0.0,-0.03694109545055226,-0.024843829552645077,-0.02413538940072748,0.017598834985369783,0.0018488567871679583,-0.007164848308215473
4,1.0,298.84044,218.67279,0.0,-3.998394967708041e-05,0.0,0.0,0.0,0.0,-0.017454834920908085,-0.03252304738402487,-0.016493186608750786,0.023455598895387376,-0.007246057162655164,-0.022289969152598683
5,1.0,299.18894,202.59384,0.0,-5.001292715389738e-05,0.0,0.0,0.0,0.0,-0.02394669183460448,-0.03180547379570587,-0.005831303974754895,0.015787816604636185,-0.01060788450966669,-0.01846993724209088
6,1.0,299.88852,322.04837000000003,0.0,-6.000891457325075e-05,0.0,0.0,0.0,0.0,-0.054767189261100746,-0.02139534429480608,-0.021732130389544278,-0.0011343918501557587,-0.022211085605813478,0.008377698545414472
7,1.0,300.28439,424.23186,0.0,-7.00049019924931e-05,0.0,0.0,0.0,0.0,-0.05129682286735225,-0.044422047595114755,-0.033237022921238764,-0.012844647277667988,-0.008767756264160173,0.0016555966571696688
8,1.0,299.77244,517.75752,0.0,-8.000088941184647e-05,0.0,0.0,0.0,0.0,-0.04822003827619725,-0.051611495791908046,-0.05755382563312035,-0.005385562792788665,-0.002098618073217478,0.004351916981525766
9,1.0,299.86357999999996,441.70995999999997,0.0,-8.999687683108881e-05,0.0,0.0,0.0,0.0,-0.05030363106633186,-0.046570692054919455,-0.03739447420779726,-0.020061050966871583,0.02083129228213848,0.00893466591338287
10,1.0,299.7835,123.52498999999999,0.0,-9.999286425044218e-05,0.0,0.0,0.0,0.0,-0.017255035173439383,-0.007678261120635373,-0.012615215031024788,-0.003596686054565277,0.00978821584127169,0.018516508243187086
11,1.0,299.90731,76.46503,0.0,-0.00010998885166979555,0.0,0.0,0.0,0.0,-0.011667325641975389,-0.006276637019580844,-0.005299497227969655,-0.006479029268755404,0.0022981397848587377,0.012898948363777089
12,1.0,299.33567,376.67814,0.0,-0.0001199848390890379,0.0,0.0,0.0,0.0,-0.045040974193448054,-0.03862226887072116,-0.030837505842674872,0.015358958499811184,-0.017455847157757984,0.006011169242406214
13,1.0,299.61652999999995,457.26529000000005,0.0,-0.00013001381656585487,0.0,0.0,0.0,0.0,-0.041647427356031066,-0.04210861725829696,-0.05524118563138054,0.012691385094042187,0.00869739465734102,0.0043467660233174055
14,1.0,300.16045,288.88383999999996,0.0,-0.00014000980398520824,0.0,0.0,0.0,0.0,-0.019786561514781583,-0.03607841836841267,-0.03194849303407077,0.0051729709654574855,-0.0025618710540119874,-0.0030509064875760272
15,1.0,300.26996,341.9617,0.0,-0.00015000579140445058,0.0,0.0,0.0,0.0,-0.02152861201420858,-0.05618392163042135,-0.026235284371720975,-0.006089492157911084,0.0030018390408834473,-0.005976618731221344
16,1.0,300.47866,530.27932,0.0,-0.00016000177882380395,0.0,0.0,0.0,0.0,-0.06416055268415354,-0.05007841799310505,-0.04695270152812086,-0.0015888217530544986,-0.008758970575193092,-0.015724192604356986
17,1.0,300.46145,434.70825999999994,0.0,-0.0001699977662430463,0.0,0.0,0.0,0.0,-0.04236623508297186,-0.05866578959761264,-0.03110843169416317,-0.006322465004378714,0.016063916111135085,-0.0034395464667818067
18,1.0,300.24031,241.8146,0.0,-0.00017999375366239967,0.0,0.0,0.0,0.0,-0.03651034662104066,-0.017737164902271882,-0.01925808977937548,-0.005564430819691564,-0.0042688520555528965,0.016935872537690484
19,1.0,299.4897,161.09112,0.0,-0.00018998974108175304,0.0,0.0,0.0,0.0,0.002079686812324108,-0.014183297581032487,-0.036864068177950265,-0.014767364322925384,-0.006133356058715114,0.009446958476492212
20,1.0,299.28767999999997,124.96758999999999,0.0,-0.00019998572850099539,0.0,0.0,0.0,0.0,-0.0010449517572037091,-0.020666595571134178,-0.016275479692264786,0.0018974725269659582,-0.008661936071416533,0.012145240250391888
21,1.0,299.03109,392.15084,0.0,-0.00021001470597781235,0.0,0.0,0.0,0.0,-0.024894569064652677,-0.04038695841713246,-0.05392253485848985,0.004860685663437326,0.01172667575333279,0.0037854358030684266
22,1.0,300.10155,576.91657,0.0,-0.00022001069339716572,0.0,0.0,0.0,0.0,-0.06379114905544624,-0.050436161139661546,-0.06114092046488904,-0.01100872219622629,-0.005780805818921115,0.009456117852096171
23,1.0,300.59589,367.40811,0.0,-0.00023000668081640807,0.0,0.0,0.0,0.0,-0.04207700588167716,-0.037127601356708964,-0.03247828503435717,-0.008064028738457673,-0.003673308939052366,-0.01042729699734409
24,1.0,301.29648,250.83166,0.0,-0.00024000266823576144,0.0,0.0,0.0,0.0,-0.030102469902132473,-0.03363940885395117,-0.012504682617366088,-0.011875120945983189,-0.007550181545719904,-0.004229410890110356
25,1.0,300.27426,483.00412,0.0,-0.0002499986556551148,0.0,0.0,0.0,0.0,-0.04635399737528336,-0.057003484920805945,-0.043463710584284256,-0.0006613831960734394,0.014943844119342586,-0.0017230915768058981
26,1.0,300.1217,541.6904,0.0,-0.00025999464307435716,0.0,0.0,0.0,0.0,-0.07305600298156613,-0.030478973374290473,-0.06112537923485525,0.0025548887475728877,-0.007970608700437832,0.01964977376453168
27,1.0,299.83936,282.7059,0.0,-0.0002699906304937105,0.0,0.0,0.0,0.0,-0.03051581210817617,-0.022117147189042476,-0.03330257513645826,-0.0034473370428256766,0.006529444946031044,0.004675113872547816
28,1.0,299.85854,177.08864,0.0,-0.0002799866179129529,0.0,0.0,0.0,0.0,-0.02243700795411028,-0.02211749777357708,-0.00927601913162181,-0.0009154119369066241,-0.02138924351595398,0.00912042860059122
29,1.0,300.04979,219.10351,0.0,-0.0002900155953896588,0.0,0.0,0.0,0.0,-0.02350731822024168,-0.00974215369437571,-0.03335252532663797,-0.0032897404792471066,0.0005340567192947945,0.007499330272226274
30,1.0,299.98881,287.31807000000003,0.0,-0.0003000115828091232,0.0,0.0,0.0,0.0,-0.021885186883399778,-0.03912349329768817,-0.026328838766704075,-0.01027188368375599,-0.004492145627790256,0.004816662277067555
31,1.0,299.8622,395.58722,0.0,-0.00031000757022825454,0.0,0.0,0.0,0.0,-0.021712133898820776,-0.04119691103031856,-0.05733959315122725,-0.006867190689938953,-0.0013324659313791486,-0.016725837950961685
32,1.0,300.83196,331.09544,0.0,-0.00032000355764771893,0.0,0.0,0.0,0.0,-0.029099226660120072,-0.040768744975311855,-0.030776775684681273,-0.005196797744209005,-0.0019850658702857482,-0.0046048423436625555
33,1.0,300.93707,96.28312,0.0,-0.0003299995450670723,0.0,0.0,0.0,0.0,0.009691920402118071,-0.03512159008698107,-0.0038379944029805564,-0.0029846194633840074,0.02927379242709837,-0.032081319989679766
34,1.0,300.73596000000003,275.40103,0.0,-0.00033999553248631464,0.0,0.0,0.0,0.0,-0.028029721927818173,-0.022725507615332978,-0.032959808839629866,0.0005917698744531395,0.002050858327103958,-0.003830716936787326
35,1.0,299.96291,517.2239400000001,0.0,-0.000349991519905668,0.0,0.0,0.0,0.0,-0.06760465867506034,-0.05196412303870965,-0.037654380964448064,-0.01161954684675999,0.003949603800170546,-0.015361322412294487
36,1.0,299.68793999999997,336.58297999999996,0.0,-0.00035998750732479934,0.0,0.0,0.0,0.0,-0.03681381603924076,-0.03259774823439727,-0.03290125615610117,0.012829042212877886,-0.008107102101533682,0.0032177664875438273
37,1.0,299.40262,31.910283000000003,0.0,-0.0003700164848016163,0.0,0.0,0.0,0.0,0.004798228116673246,0.0017316152392971183,-0.016229772993503883,0.002298085778628408,-0.0044212915814225056,0.007285459419293863
38,1.0,299.47269,211.84472999999997,0.0,-0.0003800124722210807,0.0,0.0,0.0,0.0,-0.02090755151116468,-0.009834001472215382,-0.03365395405913667,0.007445785172016783,-0.01027873122793179,0.017838767542799283
39,1.0,299.52563,479.97992,0.0,-0.000390008459640212,0.0,0.0,0.0,0.0,-0.04378735685172566,-0.03578849813054976,-0.06632605458587194,-0.013022215304692587,-0.01249915229832029,0.013127621686095388
40,1.0,300.00525,434.48474000000004,0.0,-0.0004000044470595654,0.0,0.0,0.0,0.0,-0.04286498515319467,-0.04651317896599336,-0.04269434775685405,0.003166248191509367,-0.014985165471670685,-0.003048797306167867
41,1.0,299.93432,321.80753,0.0,-0.0004100004344790298,0.0,0.0,0.0,0.0,-0.03297935747380917,-0.03301756206882967,-0.031824534043336974,-0.015451469247191287,0.010449759738810991,0.002321752463864128
42,1.0,300.2482,313.21134,0.0,-0.0004199964218981611,0.0,0.0,0.0,0.0,-0.03075190850072707,-0.02971333930722827,-0.03474317765163467,0.00988068909839809,0.015761129623502384,0.0031217905261467366
43,1.0,300.31661,375.31768999999997,0.0,-0.0004299924093176255,0.0,0.0,0.0,0.0,-0.024544269253330774,-0.05366881500694965,-0.03587412080375006,-0.015225033181093785,0.01140956596228649,-0.008593881939050111
44,1.0,300.22668999999996,515.99353,0.0,-0.0004399883967367568,0.0,0.0,0.0,0.0,-0.06929514285039813,-0.04127692941721576,-0.04627707649394186,0.004734874856820765,-0.00018425497105954982,0.0028372404124888274
45,1.0,300.15147,295.65538,0.0,-0.0004499843841562212,0.0,0.0,0.0,0.0,-0.030855896331989867,-0.016381334943461882,-0.042634621729709554,-0.0063531131854534535,0.002915149516652857,-0.003442590776707257
46,1.0,300.32266,0.62264536,0.0,-0.00046001336163292716,0.0,0.0,0.0,0.0,-0.013594498961172588,0.00036033536455233167,0.013044894881680888,-0.009448131414807971,-0.007162665159550014,0.0002581913546290027
47,1.0,299.41258,183.29692,0.0,-0.0004700093490521695,0.0,0.0,0.0,0.0,-0.020028152762624783,-0.010436401049492589,-0.02525313294379018,-0.002049174710737798,-0.02014246865215688,-0.00934016556365257
48,1.0,299.71477000000004,544.00252,0.0,-0.0004800053364717449,0.0,0.0,0.0,0.0,-0.05230973048881845,-0.050613343118398046,-0.06244010771660884,0.00994403445489979,-0.015807516213080384,-0.0036840224376597066
49,1.0,300.09085,422.69519,0.0,-0.0004900013238908763,0.0,0.0,0.0,0.0,-0.031200119682462075,-0.04303433065565776,-0.05425433069648554,0.026269412661589178,0.008726270258690822,-0.008096951362031883
50,1.0,299.58486,207.90521,0.0,-0.0004999973113101186,0.0,0.0,0.0,0.0,-0.016244291854186785,-0.025825243334503076,-0.02112845624496628,0.014122586674790789,0.007245595525909603,-0.0020555594022679184
51,1.0,299.2838,387.81167999999997,0.0,-0.000509993298729472,0.0,0.0,0.0,0.0,-0.02765998088682757,-0.06128289098940044,-0.02894219518612227,-0.003921837403705216,-0.008114840089897362,-0.0017026486480883382
52,1.0,299.38717,528.5129,0.0,-0.0005199892861487143,0.0,0.0,0.0,0.0,-0.07201275155935523,-0.04300633759514506,-0.045635636491636655,0.0018074580225322186,-0.003312648037507906,-0.0053979149194577246
53,1.0,299.24003999999996,432.11168,0.0,-0.0005299852735680677,0.0,0.0,0.0,0.0,-0.04376326480409796,-0.056345197609088044,-0.031242697464914173,-0.0007875100860586943,0.012890020617145987,-0.004956813105724365
54,1.0,300.37922000000003,364.73933,0.0,-0.0005400142510448847,0.0,0.0,0.0,0.0,-0.02878715069557057,-0.046282288652456254,-0.03580220943090297,-0.01007432352298332,0.007817713110698211,-0.013554518138726789
