,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,13.0,300.0,132.59093000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.02988764365568077,-0.004691113496926856,-0.005725576595720415,-0.003354744627487517,-0.01086510210055209,0.0065115065689106645
1,13.0,300.77778,75.487237,0.0,-5.014488738241951e-06,-5.002210186955125e-06,0.0,0.0,0.0,-0.02342225992734708,0.0006278530986667764,-0.00015182863738431984,0.0034483693420275566,-0.008827567708288101,0.003877049216159966
2,13.0,299.83116,23.684124,0.0,-9.995987419131325e-06,-1.0004420374132295e-05,0.0,0.0,0.0,0.006835577286818953,-0.009668259796382951,-0.004366699895184726,0.0027690422972831974,-0.003960264103147636,0.001164280397630529
3,13.0,298.53826000000004,90.387973,0.0,-1.501047615759532e-05,-1.5006630561198442e-05,0.0,0.0,0.0,0.0007173439959788403,-0.0072346619493805445,-0.02095836904342998,0.0033209755347797672,0.005545156573639344,-0.0032992867137392468
4,13.0,297.32279,206.50813,0.0,-1.9991974838484694e-05,-2.000884074826459e-05,0.0,0.0,0.0,-0.01219855443090359,-0.028352706542944268,-0.022222053024895876,-0.0006817075542642973,0.0024631835340222876,-0.0059614608137003745
5,13.0,297.92842,254.54873999999998,0.0,-2.5006463576837668e-05,-2.501105093544176e-05,0.0,0.0,0.0,-0.027744715952940275,-0.02960341687012977,-0.02002832602839188,-0.0012164411955533987,0.00911458589653959,-0.004855769779252166
6,13.0,299.41902000000005,281.19581,0.0,-2.9987962257949086e-05,-3.0013261122507906e-05,0.0,0.0,0.0,-0.038044161052666364,-0.02944517253576227,-0.017987173218695782,-0.002136267001883138,0.0036572165009641664,-0.004598730013759316
7,13.0,300.15006,298.27509,0.0,-3.500245099619104e-05,-3.5015471309685076e-05,0.0,0.0,0.0,-0.035139222665221265,-0.03777718788981816,-0.01775176887596318,-0.002110129202303538,-0.005730521053558395,-0.002054063845120318
8,13.0,300.20072999999996,347.20711,0.0,-3.998394967708041e-05,-3.9984772219114895e-05,0.0,0.0,0.0,-0.028723144700003672,-0.03263075181665447,-0.044188395161805054,-0.007761663256241522,-0.005098978680880015,-0.0003703352817767467
9,13.0,300.98819,358.97692,0.0,-4.499843841565543e-05,-4.498698240618104e-05,0.0,0.0,0.0,-0.02455674033556158,-0.03775386895201676,-0.04680940972547905,-0.003641806486818316,-0.001014122305686079,0.008236904404269173
10,13.0,300.92343999999997,226.08447999999999,0.0,-5.001292715389738e-05,-4.998919259335821e-05,0.0,0.0,0.0,-0.02149139128503518,-0.023224870701866275,-0.024007774603632875,-0.0015974532253563583,-0.0005014070247675204,0.004529111220588475
11,13.0,300.5758,237.57326,0.0,-5.499442583478675e-05,-5.4991402780313337e-05,0.0,0.0,0.0,-0.03556834928132276,-0.018968569775302084,-0.017679420792322983,0.0035137426172793967,-0.00015220942690440087,0.01071724661945989
12,13.0,299.9021,362.92733,0.0,-6.000891457325075e-05,-5.9993612967490506e-05,0.0,0.0,0.0,-0.053376774036627446,-0.03257150505680727,-0.024372565917884975,0.0015575779835709787,-0.005871953947566734,0.0036410561751192665
13,13.0,299.33504,477.1975,0.0,-6.499041325414012e-05,-6.499582315466768e-05,0.0,0.0,0.0,-0.05528766847971804,-0.04747713647512855,-0.04229131841032816,0.0072819445560219735,-0.003927960271409496,0.0036581562904319164
14,13.0,299.51662000000005,482.3998,0.0,-7.00049019924931e-05,-6.99980333416228e-05,0.0,0.0,0.0,-0.03494414972946907,-0.05409164123392935,-0.057601703726845546,0.0027758368484787676,-0.004475972433669086,9.365996753751912e-05
15,13.0,299.8436,407.42795,0.0,-7.498640067338247e-05,-7.500024352857793e-05,0.0,0.0,0.0,-0.026377143438721374,-0.04986184794323125,-0.04760893092888566,0.005658847490509765,-0.000979725757853904,-0.00016592449654797284
16,13.0,299.577,312.49876,0.0,-8.000088941184647e-05,-8.000245371564407e-05,0.0,0.0,0.0,-0.03434583770442026,-0.02903531793656277,-0.03161066430497967,-0.003532433433924036,0.002333382244536898,0.006023921298889744
17,13.0,300.0996,322.58002999999997,0.0,-8.501537815019944e-05,-8.500466390282124e-05,0.0,0.0,0.0,-0.04896394218161486,-0.02724306089468077,-0.021849272233605277,-0.0036963236991737463,0.008992597575925281,0.007267839709329932
18,13.0,300.14834,279.04284,0.0,-8.999687683108881e-05,-9.000687408988739e-05,0.0,0.0,0.0,-0.04124362388642876,-0.02182196919641068,-0.02175646257744568,-0.0035484043833252463,0.007124706885628823,0.008895972019889082
19,13.0,299.42512,203.75263999999999,0.0,-9.501136556955281e-05,-9.500908427695354e-05,0.0,0.0,0.0,-0.02116299996737548,-0.015505825048805787,-0.025266889840397877,-0.0037217181784799866,0.0006800080906665735,0.00989732342263977
20,13.0,299.05147,276.88219,0.0,-9.999286425044218e-05,-0.0001000112944641307,0.0,0.0,0.0,-0.00944453883525341,-0.03411946445982896,-0.04060126993253336,-0.0007668948136316251,-0.006301478770957535,0.0017754015251434882
21,13.0,299.51166,382.1046,0.0,-0.00010500735298879516,-0.00010501350465108583,0.0,0.0,0.0,-0.03012470668882707,-0.03600062203898476,-0.05002492852032605,-0.003444348157680697,-0.0013590466225774586,0.0037527045824381064
