,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,8.0,300.0,-7.1293659,0.0,0.0,0.0,0.0,0.0,0.0,0.02196521540279798,-0.015781053160218685,-0.004017013100173326,0.02338602103752058,0.018268616606222084,-0.004874764266951776
1,8.0,300.28476,-191.30883,0.0,0.0,0.0,-1.0141143672261198e-05,0.0,0.0,0.06084976710165444,-0.016001383381213586,0.013304722604823887,-0.004404256212791246,-0.015711876549391487,-0.03007285564145977
2,8.0,301.0617,127.6097,0.0,0.0,0.0,-2.0282287344522396e-05,0.0,0.0,0.00977045012196835,0.012799893034001088,-0.061360504933810345,-0.00938867025123961,0.004179423311001965,0.007991496851249332
3,8.0,300.1854,347.88716,0.0,0.0,0.0,-3.0423431016783594e-05,0.0,0.0,-0.02401109502421058,-0.03277279630842317,-0.04896511856498095,-0.013618475498288886,0.03367493441570727,-0.016622007173464383
4,8.0,299.11502,375.66686,0.0,0.0,0.0,-4.056457468904479e-05,0.0,0.0,-0.05916968697834344,-0.03888165785657086,-0.016141998177091187,-0.014864742723785886,-0.005616420175697515,0.027019175179084975
5,8.0,299.3217,463.01111,0.0,0.0,0.0,-5.070571836130599e-05,0.0,0.0,-0.05621393105863304,-0.034430379239763866,-0.05009950575418625,-0.01969399199889568,-0.025870393758959075,0.008324569181721014
6,8.0,299.01004,473.41587999999996,0.0,0.0,0.0,-6.084686203356719e-05,0.0,0.0,-0.06001753413201944,-0.059524465355107345,-0.024364607851599576,-0.005075128394726175,-0.014080448642882087,0.04028738430330526
7,8.0,299.99329,272.75695,0.0,0.0,0.0,-7.09880057058284e-05,0.0,0.0,-0.0024954350820552674,-0.03677077722799317,-0.04364509045818506,0.03310973540392647,0.0031593564696292074,-0.013605431929751588
8,8.0,300.03361,272.22222,0.0,0.0,0.0,-8.112914937808958e-05,0.0,0.0,-0.02120017915329478,-0.02979586751462317,-0.03175271082324857,0.012126518428294188,0.015007631252887885,0.025930452132136374
9,8.0,299.90429,327.24433,0.0,0.0,0.0,-9.127029305035078e-05,0.0,0.0,-0.05317017842073804,-0.033761621001512566,-0.01254230459357909,-0.022699632247529276,0.0046504120510099355,0.016114938319920585
10,8.0,299.80872,107.43453000000001,0.0,0.0,0.0,-0.00010141143672261198,0.0,0.0,-0.06580124676282743,0.033171784813550265,-2.7954596525653872e-05,-0.006434486997009424,0.011652233281735888,0.03892284545988576
11,8.0,299.99928,73.767328,0.0,0.0,0.0,-0.00011155258039487319,0.0,0.0,0.008135836557144553,-0.02023659553344648,-0.01032266676551789,-0.026059987038170473,0.03179753903417277,-0.001190657324233729
12,8.0,300.23896,491.21198,0.0,0.0,0.0,-0.00012169372406713438,0.0,0.0,-0.04951613916811245,-0.03221454717907827,-0.06758549000966853,0.00962876958963557,0.008496159641105673,0.012174290130758887
13,8.0,299.55114,675.7180000000001,0.0,0.0,0.0,-0.00013183486773939558,0.0,0.0,-0.038893359881975766,-0.04672304839295586,-0.11978498800685788,-0.01893999105623158,-0.023548892885094774,0.0026711896953758975
14,8.0,299.84448,474.83471,0.0,0.0,0.0,-0.0001419760114116568,0.0,0.0,-0.02989006127041937,-0.07914586710358892,-0.035301967856532966,-0.004801883213758976,-0.00945217894365743,-0.036084185787981865
15,8.0,299.86736,285.21767,0.0,0.0,0.0,-0.000152117155083918,0.0,0.0,-0.05067473594195705,-0.017774179941674982,-0.018250132897897883,0.01101846256943759,0.009235907194613072,-0.004106974510301826
16,8.0,300.27416,-60.645419999999994,0.0,0.0,0.0,-0.00016225829875617917,0.0,0.0,-0.016581314036198287,-0.018600441828470683,0.05361644821528145,0.008519240667783591,0.0037930721624470764,-0.026692237875318773
17,8.0,300.59173,-255.99497999999997,0.0,0.0,0.0,-0.00017239944242844035,0.0,0.0,0.043059527145894456,-0.027604912770392773,0.06236146633659754,0.014927520660231586,-0.006891464717284614,-0.0017279843588887784
18,8.0,301.98797,150.87521999999998,0.0,0.0,0.0,-0.00018254058610070155,0.0,0.0,-0.004522224868933846,-0.017396306555381786,-0.02394376759481588,0.013637947125460589,-0.040228638089007465,0.005580500054352474
19,8.0,301.15436,404.61194,0.0,0.0,0.0,-0.00019268172977296278,0.0,0.0,0.0013609316730634987,-0.06845653755088424,-0.05589632173528744,0.021827835914489682,-0.0013491700685527186,0.006430983279488634
20,8.0,299.58855,27.601187,0.0,0.0,0.0,-0.00020282287344522396,0.0,0.0,0.009300941132406421,0.005566638792984475,-0.023257651369101476,0.0010288430057888989,-0.023838545624931276,-0.016548565792966284
21,8.0,299.57313,261.87446,0.0,0.0,0.0,-0.00021296401711748514,0.0,0.0,-0.042886829812100555,-0.007784438281389243,-0.028932028234618868,0.0017824918440432483,-0.0012098586162787488,0.02109712553862418
22,8.0,299.34261000000004,710.87563,0.0,0.0,0.0,-0.00022310516078974637,0.0,0.0,-0.12371860728007587,-0.04224314039457336,-0.05012669328086945,0.0012635131474990388,0.015467763322049383,0.0035165312842046163
23,8.0,300.71008,479.25459000000006,0.0,0.0,0.0,-0.00023324630446200758,0.0,0.0,-0.07654418433857284,-0.002733075971733597,-0.06640416907583123,0.0060573914828179936,0.05158944645648195,0.004603802141109896
24,8.0,301.06925,15.141886999999999,0.0,0.0,0.0,-0.00024338744813426875,0.0,0.0,-0.02312292254305478,0.002402425005025888,0.016117741982947284,-0.012106965741114488,0.02211248218558208,-0.008368673425448761
25,8.0,300.22627,99.239572,0.0,0.0,0.0,-0.00025352859180652993,0.0,0.0,0.011564819182358788,-0.0049626204473475054,-0.03676855111752346,-0.02213751756905288,0.004940081914773125,0.013284019878780688
26,8.0,298.01202,124.67551,0.0,0.0,0.0,-0.00026366973547879116,0.0,0.0,-0.04176353467173997,0.010737607880219388,-0.006872314087744594,-0.001987345986985778,-0.015296299113627185,0.01731839674194268
27,8.0,298.69486,249.46265,0.0,0.0,0.0,-0.00027381087915105234,0.0,0.0,-0.04362791688224016,-0.047546960552769656,0.015344461930630486,-0.017461105925776984,-0.002626589465724198,-0.0028701534101870873
28,8.0,299.53021,259.23171,0.0,0.0,0.0,-0.0002839520228233136,0.0,0.0,-0.05608104938751864,-0.0013808613906054086,-0.02133805513415208,0.025500754042978475,-0.02081326250985908,0.013245936873772186
29,8.0,299.90457000000004,44.11611,0.0,0.0,0.0,-0.0002940931664955747,0.0,0.0,0.013997974137742486,-0.014984035697809187,-0.012424134300666589,0.0029068759242863174,0.0006549031475764084,0.001072246688397509
30,8.0,300.43923,131.89923000000002,0.0,0.0,0.0,-0.000304234310167836,0.0,0.0,0.02085192712042498,-0.016405613429107985,-0.04454038608754386,0.02095389757073868,-0.015028117143409686,-0.001101104253895529
31,8.0,300.52085,595.19236,0.0,0.0,0.0,-0.00031437545384009716,0.0,0.0,-0.03881571756656307,-0.03845537948650046,-0.1036525164072069,0.015602036185551085,-0.009935345632642272,0.01898625200279718
32,8.0,300.98697000000004,540.77002,0.0,0.0,0.0,-0.00032451659751235834,0.0,0.0,-0.037640437629821964,-0.06227965551027344,-0.06446048889925494,-0.01025450036504039,0.0011416622235982889,-0.004492809610580786
33,8.0,300.5516,55.50445799999999,0.0,0.0,0.0,-0.00033465774118461957,0.0,0.0,-0.016266947113172683,-0.015755908345737087,0.015150887591776184,-0.02902431606697697,0.017642829291461683,-0.015850988695370785
34,8.0,299.91486000000003,212.78766000000002,0.0,0.0,0.0,-0.0003447988848568807,0.0,0.0,-0.01882983455835998,-0.04308227461063946,-0.0027700246432551478,-0.03338580349967227,0.013310836555927286,-0.03273402935959717
35,8.0,299.3292,419.28548,0.0,0.0,0.0,-0.0003549400285291419,0.0,0.0,-0.06711668451965103,-0.04841247676168945,-0.011923154066973689,-0.037682878623510566,0.03414020062312546,-0.02729879167668097
36,8.0,298.93489,83.23304499999999,0.0,0.0,0.0,-0.0003650811722014031,0.0,0.0,0.025786518942181272,-0.02294305342505308,-0.028144232361369474,-0.001123311757662239,0.0037082870417794365,-0.024673164798551774
37,8.0,298.7204,-79.259506,0.0,0.0,0.0,-0.00037522231587366434,0.0,0.0,0.03326306243555867,-0.005179878088739165,-0.003990273632684347,-0.002209462770556998,-0.002425499546903168,0.005386625793468575
38,8.0,299.01203,130.78233,0.0,0.0,0.0,-0.00038536345954592557,0.0,0.0,-0.015070788144870985,-0.013149996274803588,-0.01153377826554529,0.03029383028951827,-0.014166954870169588,0.016674304050875683
39,8.0,299.07992,176.90431999999998,0.0,0.0,0.0,-0.0003955046032181867,0.0,0.0,-0.04660815900386715,0.012514111922796688,-0.01968044788480898,0.028239078650230075,-0.006298256838289554,0.01004405298022085
40,8.0,299.51764,395.44129,0.0,0.0,0.0,-0.0004056457468904479,0.0,0.0,-0.03749318199278897,-0.05542964711023024,-0.027281449901219477,0.03918312002632286,0.000920847942633116,0.013886603766251088
41,8.0,300.6374,564.89814,0.0,0.0,0.0,-0.00041578689056270916,0.0,0.0,-0.07960925170557143,-0.015698169302038684,-0.07640750905908403,-0.0035518928007695267,-0.0015291541904407684,0.02337557037598918
42,8.0,299.35505,365.19537,0.0,0.0,0.0,-0.0004259280342349703,0.0,0.0,-0.018011291610826083,-0.03209740837476757,-0.06090157457926744,-0.012433317386322886,0.004540752450987375,0.02307895154171518
43,8.0,299.89816,362.17467999999997,0.0,0.0,0.0,-0.00043606917790723156,0.0,0.0,-0.04047294383386856,-0.03712856191780376,-0.03249055346656796,-0.045887914488284554,0.02676528915452837,-0.002930492048342047
44,8.0,301.04267000000004,598.13372,0.0,0.0,0.0,-0.00044621032157949274,0.0,0.0,-0.07509735236178164,-0.035829342242080765,-0.07089101986389894,-0.006531833885791813,0.0012935250075109786,0.020810998909135677
45,8.0,300.51873,359.40572000000003,0.0,0.0,0.0,-0.0004563514652517539,0.0,0.0,-0.054091017071867746,-0.04446468718582296,-0.010694661274730888,-0.024743943357787075,0.011693062194515389,-0.006556327889734183
46,8.0,299.90491000000003,-15.385183999999999,0.0,0.0,0.0,-0.00046649260892401515,0.0,0.0,0.008856966754639562,-0.012924558260054588,0.008744303273370542,0.008512205773664303,-0.025169380730274474,-0.01352989920104709
47,8.0,299.37522,-35.503045,0.0,0.0,0.0,-0.0004766337525962763,0.0,0.0,0.016241447661156087,-0.0017645014871927381,-0.0036849073089720366,-0.004317683212322156,0.003755592142573087,-0.002161723694745518
48,8.0,299.65604,44.879418,0.0,0.0,0.0,-0.0004867748962685375,0.0,0.0,0.01979274740664208,-0.013230620585260588,-0.02020434884901398,0.0017527508257830385,-0.0025611402980398675,-0.01968186542169888
49,8.0,301.1388,143.36758,0.0,0.0,0.0,-0.0004969160399407987,0.0,0.0,0.0018519596629491884,-0.017862783596669485,-0.02756933958588197,-0.01942532062887988,0.0004742945495192275,0.006537106332687163
50,8.0,301.58996,226.69709,0.0,0.0,0.0,-0.0005070571836130599,0.0,0.0,-0.02009848751831628,-0.018553431076831082,-0.030258336138515272,-0.010474168933719991,-0.025700629784204676,-0.013015592702038989
51,8.0,299.47402,324.93487000000005,0.0,0.0,0.0,-0.0005171983272853211,0.0,0.0,-0.028406062266710077,-0.03903238286194626,-0.03133364172763967,-0.007865242139763962,-0.012270218570726289,0.000975336773853245
52,8.0,299.13839,317.02266000000003,0.0,0.0,0.0,-0.0005273394709575823,0.0,0.0,-0.016067914396029684,-0.031987479858168466,-0.048311577316731455,0.016039418763467386,-6.938474860974154e-05,-0.015465633470339184
53,8.0,299.25919,451.90153,0.0,0.0,0.0,-0.0005374806146298435,0.0,0.0,-0.010525862927321791,-0.058111180062626944,-0.06872973713559694,0.0025238237154070076,-0.0017635820640519984,0.006089625906924284
54,8.0,300.2613,696.97743,0.0,0.0,0.0,-0.0005476217583021047,0.0,0.0,-0.08052268451172022,-0.035755402342533465,-0.09558564833931901,0.01038917447558169,-0.0007115883301108002,0.003994555931581976
55,8.0,300.6827,283.68416,0.0,0.0,0.0,-0.0005577629019743659,0.0,0.0,-0.03958687384667026,-0.02092336023922488,-0.025722665947379476,-0.012961067687657788,0.04562377538596605,0.018414414176361183
56,8.0,299.47303999999997,-150.14772,0.0,0.0,0.0,-0.0005679040456466271,0.0,0.0,-0.010223502004731091,0.008081598495191673,0.04778306201157105,-0.011153272455492289,0.030215332791021173,-0.006624386075101004
57,8.0,300.99487999999997,229.03654,0.0,0.0,0.0,-0.0005780451893188883,0.0,0.0,-0.04137943587683236,0.01166568316356329,-0.03990763640432706,-0.03356711953881677,0.01014101635384039,0.021744351199000377
58,8.0,301.11663,388.05654,0.0,0.0,0.0,-0.0005881863329911494,0.0,0.0,-0.06080910537514144,-0.01209726488465709,-0.04505312711514746,-0.028583550246976768,-0.022270935249470183,0.012955674157375488
59,8.0,301.2512,295.05196,0.0,0.0,0.0,-0.0005983274766634106,0.0,0.0,-0.01822077904250088,-0.022699298888246375,-0.04876835046181145,0.011305150539481489,-0.012529859855850888,-0.0026185620931319575
60,8.0,301.12397999999996,305.71443999999997,0.0,0.0,0.0,-0.000608468620335672,0.0,0.0,-0.04263594098133976,-0.0011591549733246888,-0.049134461027693754,0.0009069256228140901,-0.009440495460729361,0.013497045579804686
61,8.0,300.40244,346.00711,0.0,0.0,0.0,-0.0006186097640079332,0.0,0.0,-0.04380366815183546,-0.03252267552123817,-0.028851177969389574,0.028913321611272677,0.012788707766147187,0.004310294795242976
62,8.0,299.05446,427.89324000000005,0.0,0.0,0.0,-0.0006287509076801943,0.0,0.0,-0.05721787850946495,-0.021743525400168877,-0.05110745756941335,0.010853027199110389,-0.03221536791165927,-0.00043707760990120166
63,8.0,299.65904,519.72475,0.0,0.0,0.0,-0.0006388920513524554,0.0,0.0,-0.04264633388761546,-0.07182812320563384,-0.04350889039299316,-0.009310281271828222,0.012053709315858488,-0.009095252578006542
64,8.0,299.60057,265.30714,0.0,0.0,0.0,-0.0006490331950247167,0.0,0.0,-0.013146429634451588,-0.037780788980673566,-0.029719528238839076,-0.012017024595987988,-0.007926305049090402,-0.007797464624674842
65,8.0,299.49454,-141.22845,0.0,0.0,0.0,-0.0006591743386969779,0.0,0.0,0.04329146516003496,0.006538635529738083,-0.006900178262844573,-0.035827675445666264,-0.010520738921566089,-0.006129347438669494
66,8.0,300.28415,-204.78900000000002,0.0,0.0,0.0,-0.0006693154823692391,0.0,0.0,0.007608578796683263,0.018140415137319583,0.03650175020719226,-0.03770680247162167,-0.008303696837611072,0.002211807836588438
67,8.0,300.81622000000004,262.10807,0.0,0.0,0.0,-0.0006794566260415003,0.0,0.0,-0.06456837571690253,-0.001005116265219752,-0.014100816996392287,-0.009068967350537391,-0.0052685397016393855,0.01867683784626038
68,8.0,300.50092,287.15443999999997,0.0,0.0,0.0,-0.0006895977697137614,0.0,0.0,-0.03816709868729936,-0.03713635786407316,-0.011984323975510688,0.0052336011156662145,0.016542875380404682,-0.008905283383008042
69,8.0,300.54517000000004,109.57083999999999,0.0,0.0,0.0,-0.0006997389133860226,0.0,0.0,0.0025853726808064176,-0.03761727067953556,0.0017250978120038982,0.005145219767743655,-0.0003271525586174437,-0.040561203997079166
70,8.0,300.26399,449.29345,0.0,0.0,0.0,-0.0007098800570582839,0.0,0.0,-0.016959627173034883,-0.03885607329154586,-0.08075828947797263,0.02276599911582918,-4.3381218853892957e-07,-0.004918060545049785
71,8.0,299.53934,532.5904099999999,0.0,0.0,0.0,-0.0007200212007305452,0.0,0.0,-0.049100146299807156,-0.07058543579274013,-0.042208602751664756,-0.004813334257114105,-0.006014873684771814,-0.02307131568896158
72,8.0,299.08824,395.47591,0.0,0.0,0.0,-0.0007301623444028062,0.0,0.0,-0.045605211630883956,-0.025222568254523677,-0.04938702172111955,0.009433600192473851,-0.005649706961357665,0.022107088655299777
73,8.0,299.86567,189.05328,0.0,0.0,0.0,-0.0007403034880750673,0.0,0.0,-0.049712067286949047,0.0028533296081767073,-0.01060873969275109,-0.028747082733616175,-0.01896155099185938,0.012359769614564288
74,8.0,299.08876000000004,47.493227000000005,0.0,0.0,0.0,-0.0007504446317473287,0.0,0.0,-0.016978617506409083,-0.002009279710575468,0.004551142114862756,-0.026433137665747578,0.0002212829597989278,0.037549379883085265
75,8.0,300.98309,-21.457335999999998,0.0,0.0,0.0,-0.0007605857754195899,0.0,0.0,0.0021347965733380177,0.011880911670304688,-0.007493213281372573,-0.006896211186053054,0.007161057942241394,-0.00933729056781883
