,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,6.0,300.0,-79.63689699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.053216156670525754,-0.0009394378598327981,-0.02806909074720357,-0.006301675240151925,0.021309026532037183,-0.00928969192847121
1,6.0,299.83238,190.14588,0.0,0.0,0.0,0.0,0.0,-9.966809583789038e-06,-0.02291556394984008,-0.007108053208310232,-0.02777598181127597,-0.04942838056370136,-0.0013967432753228285,-0.027561910436148775
2,6.0,299.88187999999997,-35.624359000000005,0.0,0.0,0.0,0.0,0.0,-1.9933619167633587e-05,0.00854053776633545,0.0018795018271673882,0.0004088760833129276,-0.040810868821719165,0.02237268886426248,-0.018170441790782983
3,6.0,299.05241,-279.29739,0.0,0.0,0.0,0.0,0.0,-2.990042875145038e-05,-0.007985801372437231,0.04151345441455896,0.05137178006999995,-0.00031829634744340367,0.036529753400205964,-0.024067926195819375
4,6.0,297.91354,99.870891,0.0,0.0,0.0,0.0,0.0,-3.986723833529493e-05,-0.03402165846742627,0.0034405254690284266,0.00022287557617360683,0.02011999172518858,0.01034106333433349,-0.0029993117924840274
5,6.0,297.71732000000003,301.23577,0.0,0.0,0.0,0.0,0.0,-4.9834047919111724e-05,-0.05793197867644115,-0.03088743475460247,-0.002748739095754427,0.0065812951827982635,-0.03876004656631876,-0.015611283105963686
6,6.0,299.41127,316.74984,0.0,0.0,0.0,0.0,0.0,-5.980085750292852e-05,-0.015605400175883088,-0.025709180601798574,-0.05496946235206354,0.0004271515180790725,-0.028451607858705076,0.02675515564027827
7,6.0,300.01468,563.9301,0.0,0.0,0.0,0.0,0.0,-6.976766708674531e-05,-0.03233074467404607,-0.07365760604293974,-0.06543231733516694,0.036871106213144864,-0.016480124801711682,0.0007567228161427273
8,6.0,300.04147,671.7719599999999,0.0,0.0,0.0,0.0,0.0,-7.973447667058986e-05,-0.05197996317752295,-0.06645774670136893,-0.08576419282851681,-0.002073232814487148,0.0038099297056857864,0.042942151241060364
9,6.0,299.35976,308.98434,0.0,0.0,0.0,0.0,0.0,-8.97012862543789e-05,-0.06292415552788064,-0.02798212045137027,-0.0030172466232290572,0.011952837228653188,-0.009772629622933451,-0.015521576021610287
10,6.0,299.08299999999997,256.35312999999996,0.0,0.0,0.0,0.0,0.0,-9.966809583819569e-05,-0.03127219216207507,-0.00997646950252588,-0.036676289629667964,-0.022422184105147278,0.024215476688631474,0.027277998771378875
11,6.0,300.19588,141.22673999999998,0.0,0.0,0.0,0.0,0.0,-0.00010963490542201249,-0.04900493625416066,0.02081889010091448,-0.014743355361805884,-0.0036996963021315964,0.05212962832329375,0.00943745753427954
12,6.0,300.53508,-36.027426,0.0,0.0,0.0,0.0,0.0,-0.00011960171500585703,0.03752776827170236,-0.009910559711346089,-0.016665770458533485,-0.011485789727559188,0.006047678467359394,-0.0055476042819059155
13,6.0,299.46134,221.14798,0.0,0.0,0.0,0.0,0.0,-0.00012956852458967383,-0.028684103160400574,-0.027162352484465475,-0.011377009223323388,-0.0024164684487618677,-0.02061127312892428,-0.025605711554586973
14,6.0,300.07338,489.96777000000003,0.0,0.0,0.0,0.0,0.0,-0.00013953533417351838,-0.06531663761100025,-0.030843285421245266,-0.05277804455253745,-0.022517666715070682,-0.022569247224661276,0.008368369653068784
15,6.0,300.80593,347.36568,0.0,0.0,0.0,0.0,0.0,-0.00014950214375730742,-0.07594058416125213,-0.04138955115258066,0.011739641301612388,0.029476430288097172,0.0015846413871169283,-0.007970202995097792
16,6.0,300.84776,431.63959000000006,0.0,0.0,0.0,0.0,0.0,-0.0001594689533411242,-0.03609902280919617,-0.06714257508620623,-0.027966059424035176,-0.019748355906510983,-0.0025136970912575875,-0.01023388883150619
17,6.0,300.23962,687.16128,0.0,0.0,0.0,0.0,0.0,-0.000169435762924941,-0.07928976179004023,-0.07025815905019044,-0.05933194986260754,0.015643049509848787,-0.015515631283273587,0.017687112373832085
18,6.0,299.79321,556.30074,0.0,0.0,0.0,0.0,0.0,-0.00017940257250878555,-0.001216284344437919,-0.05946245546223744,-0.1084227965529969,-0.0013022529412223588,-0.014496306748924086,0.008138760391633113
19,6.0,299.24831,154.72704,0.0,0.0,0.0,0.0,0.0,-0.00018936938209260235,-0.0056483431267230644,-0.013500979016692885,-0.027883833165170072,0.005963500688801694,0.00021768651976148678,0.03071698582278047
20,6.0,299.60901,109.64613999999999,0.0,0.0,0.0,0.0,0.0,-0.00019933619167641914,-0.003642204288807577,-0.026087293115115377,-0.0036001930144863867,-0.006003298518279434,-0.02268670722925368,-0.0036746434907590766
21,6.0,299.6656,248.36344,0.0,0.0,0.0,0.0,0.0,-0.00020930300126020818,-0.06430183115884665,-0.025178950877468978,0.013984497911412487,0.00047931065427177856,-0.021610913253581082,-0.0045710347474510055
22,6.0,299.90382999999997,247.639,0.0,0.0,0.0,0.0,0.0,-0.00021926981084405273,-0.044505123970813756,-0.017904410950527784,-0.012866536519578288,0.0026174307993953078,0.020363952965015683,-0.01157356150422159
23,6.0,300.74026000000003,622.6938700000001,0.0,0.0,0.0,0.0,0.0,-0.00022923662042786952,-0.09709468880599971,-0.058496739964178736,-0.03369195904388747,-0.00041805925002923563,0.03978186673566456,-0.012948884368455387
24,6.0,301.48613,668.91782,0.0,0.0,0.0,0.0,0.0,-0.0002392034300116863,-0.02217757945150668,-0.05911393289159094,-0.12204280307218687,-0.021541879511017978,0.01744290187448038,-0.008573564045394892
