,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,7.0,300.0,275.32817,0.0,0.0,0.0,0.0,0.0,0.0,-0.04079966835511376,-0.013861169162240885,-0.029032051218240373,-0.008101086435689983,-0.016178421478435883,-0.0076048827642934925
1,7.0,299.82329,22.35308,0.0,0.0,0.0,0.0,-9.966809583820822e-06,0.0,-0.016991266920657486,-0.013584219538908086,0.023780708295973178,0.015459727235506288,-0.01184376186863829,-0.015418745321961684
2,7.0,299.25049,-272.31279,0.0,0.0,0.0,0.0,-1.9933619167641644e-05,0.0,0.016375295972865883,0.028057428238552572,0.038343564298215164,0.012742217825058988,0.02009311121328568,0.023178030176243477
3,7.0,299.44003,11.053168,0.0,0.0,0.0,0.0,-2.9900428751462466e-05,0.0,0.028253812319934176,-0.03066368380126997,-0.00095001580584176,0.008046008186754182,-0.019177345905406682,-0.011432596123809388
4,7.0,297.63666,449.79408,0.0,0.0,0.0,0.0,-3.986723833528329e-05,0.0,-0.06121155311610994,-0.025840184720477676,-0.049674431125234654,0.0029603778600415472,-0.051986472296165355,0.01226184709840009
5,7.0,299.14419,409.99778,0.0,0.0,0.0,0.0,-4.983404791910411e-05,0.0,-0.039048937342080065,-0.043295434060676666,-0.04228471607267656,0.0007377826082509744,-0.012052687959757688,0.011516268290567188
6,7.0,299.31774,4.572482,0.0,0.0,0.0,0.0,-5.980085750292493e-05,0.0,-0.020394057638736782,-0.009711741499249261,0.02871587868353657,0.009931241260462199,0.036973277286978364,0.0001260207520372799
7,7.0,299.90969,312.2589,0.0,0.0,0.0,0.0,-6.976766708674576e-05,0.0,-0.06137051989779874,-0.022648521885985082,-0.01089986671148309,-0.00012569385729001788,0.025924840753082577,0.007141606782721712
8,7.0,299.82231,655.26847,0.0,0.0,0.0,0.0,-7.973447667056658e-05,0.0,-0.05575502400884244,-0.06542009551246074,-0.07801013330500073,-0.029451799191416272,0.00039571665975919357,-0.0024970357132382374
9,7.0,299.92097,363.37424,0.0,0.0,0.0,0.0,-8.97012862543874e-05,0.0,-0.005144699058517266,-0.048419048701838045,-0.056892948454146844,0.006236350398254864,0.006325143125718024,-0.004550716853795786
10,7.0,300.01578,-108.18032,0.0,0.0,0.0,0.0,-9.966809583820821e-05,0.0,0.04973787578024615,0.018250425727176785,-0.035104184476763264,-0.0022632209572625178,0.004687519802797186,0.00984640416006443
11,7.0,300.48967999999996,-197.29903000000002,0.0,0.0,0.0,0.0,-0.00010963490542202905,0.0,0.03442168960690627,-0.017068077357738083,0.04262036631405266,0.0073308378250223636,-0.014760717402269386,-0.012437910449026188
12,7.0,298.97311,103.50725,0.0,0.0,0.0,0.0,-0.00011960171500584987,0.0,-0.03520910551136817,-0.004864204478384605,0.008609690667110311,-0.022887822175352183,-0.051474028150841046,0.0032688059215810273
13,7.0,299.37872999999996,606.24641,0.0,0.0,0.0,0.0,-0.00012956852458967068,0.0,-0.12307043119110588,-0.040401434721311164,-0.02081190070172468,0.026315715151408875,-0.006623371913075914,-0.011325702291259789
14,7.0,299.46162999999996,686.0186,0.0,0.0,0.0,0.0,-0.00013953533417349152,0.0,-0.08310651988947491,-0.06836455875980664,-0.05706144485302615,0.02048683588414328,0.024506096069063375,0.030560713273107575
15,7.0,300.59772999999996,244.54109,0.0,0.0,0.0,0.0,-0.00014950214375731235,0.0,-0.030004952686008272,-0.017845656630229183,-0.026483774839495072,0.00040985246124178857,0.01899441575885288,0.004301420345567136
16,7.0,300.99534,316.56004,0.0,0.0,0.0,0.0,-0.00015946895334113315,0.0,-0.017007335040743286,-0.029986549024441974,-0.049232461564115655,-0.024948851912259977,-0.015133585333068586,0.01851828244411218
17,7.0,299.84215,692.77176,0.0,0.0,0.0,0.0,-0.00016943576292495396,0.0,-0.09070008059715101,-0.05332370810239024,-0.06656152681636124,-0.017551836392731383,-7.056457094668092e-05,-0.009693141469813581
18,7.0,300.59809,493.1007,0.0,0.0,0.0,0.0,-0.0001794025725087748,0.0,-0.08376906285161283,-0.01911269244302588,-0.04700854478088216,0.0018137304459512583,0.012501960014347387,0.026313694730709474
19,7.0,300.94529,-218.34686000000002,0.0,0.0,0.0,0.0,-0.00018936938209259562,0.0,-0.0035663369849200568,0.011928140270715789,0.058010188411909844,-0.015745937964753088,-0.00017130840095432284,-0.02031714182364578
20,7.0,299.04659,-323.37102000000004,0.0,0.0,0.0,0.0,-0.00019933619167641643,0.0,0.05250495237233535,0.023479994918045078,0.022311769228500183,-0.027814063803034375,-0.009924276584574841,0.014363767556343488
21,7.0,298.53016,70.18307800000001,0.0,0.0,0.0,0.0,-0.00020930300126023726,0.0,-0.0006703301843239384,-0.004650388948907655,-0.016013183691878183,-0.011230620928375989,0.01136747150013209,-0.001195202257557279
22,7.0,299.31843,596.36047,0.0,0.0,0.0,0.0,-0.0002192698108440581,0.0,-0.026944333486948673,-0.07193727759915652,-0.08239708168620882,0.037240559491107064,0.024860487384289077,0.02157519416105588
23,7.0,299.06569,623.29842,0.0,0.0,0.0,0.0,-0.00022923662042787893,0.0,-0.06747940475069873,-0.06368338281456053,-0.05830436733994304,0.028871523018147473,-0.0017865968241733783,-0.008929123131360841
24,7.0,300.67557,397.17262999999997,0.0,0.0,0.0,0.0,-0.00023920343001169973,0.0,-0.07702737595351013,-0.03088675891678577,-0.012816429275633088,0.027271220128209872,-0.042243277183336855,0.0017934139708461784
25,7.0,300.28469,279.66611,0.0,0.0,0.0,0.0,-0.00024917023959552056,0.0,-0.04398651926488146,-0.04305848451154155,0.0020334897005148084,0.014471269338953086,-0.028984487232046174,-0.0017627695387968084
26,7.0,300.61616000000004,402.23757,0.0,0.0,0.0,0.0,-0.00025913704917934137,0.0,-0.04844307387495916,-0.012698866932780589,-0.06112823761338735,0.03442390355837477,0.0026261368469045277,0.01011908496072593
27,7.0,300.39659,473.36045,0.0,0.0,0.0,0.0,-0.00026910385876316217,0.0,-0.046562852538895756,-0.03419385728217097,-0.06313304716849663,0.003946319045996366,0.0004813891544669105,0.015662413732509883
28,7.0,300.99859,-94.929847,0.0,0.0,0.0,0.0,-0.00027907066834698303,0.0,0.04120296215991576,0.008529714127442242,-0.02087637380558768,-0.01901903368328248,-0.008526333519808601,0.001018634815006429
29,7.0,300.26288999999997,-414.21001,0.0,0.0,0.0,0.0,-0.0002890374779308038,0.0,0.05417846156874785,0.024038557141670875,0.04769248353213166,-0.03238683921283217,-0.004048184726249726,-0.001961098047120308
30,7.0,300.06709,205.08283,0.0,0.0,0.0,0.0,-0.0002990042875146247,0.0,-0.04948513270180235,-0.013593036841278286,0.0007381095941907452,0.011863884002374188,0.011463437430353189,0.005504856780062064
31,7.0,298.70563,576.33699,0.0,0.0,0.0,0.0,-0.0003089710970984455,0.0,-0.07186973232099034,-0.027268130728654975,-0.07605418976246413,-0.003104815851196467,-0.024489297395655477,0.004297188709174506
32,7.0,299.7188,557.5994400000001,0.0,0.0,0.0,0.0,-0.0003189379066822663,0.0,-0.05680547355976374,-0.05017992741462325,-0.06251090654084614,0.006253759352197994,-0.0007399640546562663,0.005771162819044425
33,7.0,300.46379,343.76925,0.0,0.0,0.0,0.0,-0.00032890471626608717,0.0,-0.018433647689759382,-0.023325771160074376,-0.06273784923199364,-0.012738047287647387,0.02211691110176918,0.024525789598006976
34,7.0,300.70232999999996,288.4333,0.0,0.0,0.0,0.0,-0.0003388715258499079,0.0,-0.03024504331045337,-0.015814787295797987,-0.041616689400997456,0.006806237312948323,0.034922479349580364,0.03468108264575637
35,7.0,300.18801,547.6238900000001,0.0,0.0,0.0,0.0,-0.0003488383354337288,0.0,-0.08056415886481343,-0.04405763219664976,-0.04184219631675326,-0.007507515407859083,-0.01131653237785479,0.012363626044444888
