,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,3.0,300.0,108.02865,0.0,0.0,0.0,0.0,0.0,0.0,-0.04334082867840676,0.0008615745951032923,0.009641241989091501,-0.006444597713132274,0.01041122279775769,-0.026994861229685373
1,3.0,300.79125,56.883326000000004,0.0,0.0,0.0,1.0141143672261198e-05,0.0,0.0,0.014053992682771087,-0.02350296631106218,-0.007842136693758633,-0.006816751201285963,0.019182841773949084,-0.0013559852900503287
2,3.0,299.69343,21.849012,0.0,0.0,0.0,2.0282287344522396e-05,0.0,0.0,0.02052995474214878,-0.013179691595484287,-0.013991817630134885,0.008292120455218571,-0.0068314478873614136,-0.009561531528899691
3,3.0,299.75149,197.57706000000002,0.0,0.0,0.0,3.0423431016783594e-05,0.0,0.0,0.002219074663655618,-0.016492768136459484,-0.04578480109185805,0.0011390940398948288,-0.020254686100731882,0.02087902852084968
4,3.0,297.90968,247.95064,0.0,0.0,0.0,4.056457468904479e-05,0.0,0.0,-0.03343357722863717,-0.026898522423427478,-0.015038703580454485,0.012569419166255088,0.002017981806409298,0.00956473218331557
5,3.0,299.17792000000003,539.14225,0.0,0.0,0.0,5.070571836130599e-05,0.0,0.0,-0.1020599101650289,-0.026864124609032678,-0.034961745830705666,-0.008496595642623702,0.01136123291926639,0.028096267128135673
6,3.0,299.65522000000004,458.29457,0.0,0.0,0.0,6.084686203356719e-05,0.0,0.0,-0.06345823560259024,-0.04651372612104736,-0.02933814495419947,0.013512778314107386,0.009120694173442431,7.816165979120523e-05
7,3.0,300.40469,92.967053,0.0,0.0,0.0,7.09880057058284e-05,0.0,0.0,0.014476418675961285,-0.026765897104588373,-0.015970185410634587,0.0029110041078437374,-0.009631640735118931,-0.006920053467531103
8,3.0,299.87352999999996,157.65668,0.0,0.0,0.0,8.112914937808958e-05,0.0,0.0,0.019454540735263683,-0.029129427592600673,-0.03824880818861347,-0.0011430404463843088,0.000982208119273894,0.011875675193787887
9,3.0,300.43818999999996,451.59853,0.0,0.0,0.0,9.127029305035078e-05,0.0,0.0,-0.02326104778343668,-0.04558935730656925,-0.06842427161469983,0.002651218130604857,0.0059434884927016445,-0.0036652465080066663
10,3.0,299.47384,58.348032999999994,0.0,0.0,0.0,0.00010141143672261198,0.0,0.0,0.0015860825327341586,-0.025920139272618575,0.006597712063568484,-0.01158458566530959,-0.005570348706900615,-0.013996160420063486
11,3.0,300.1466,-94.945965,0.0,0.0,0.0,0.00011155258039487319,0.0,0.0,-0.008561553789309572,0.002118465008226218,0.03530429123901226,-0.005544620260361416,-0.008266046287745252,-0.02110153621630948
12,3.0,299.56402,370.67712,0.0,0.0,0.0,0.00012169372406713438,0.0,0.0,-0.04346323334348716,-0.052896973769774855,-0.01631638054580138,-2.838927473905327e-05,0.0007430646100947672,-0.02243378885854258
13,3.0,300.06924,593.2991400000001,0.0,0.0,0.0,0.00013183486773939558,0.0,0.0,-0.06479277413704894,-0.046207566523831754,-0.06934778220634323,-0.02095707613630238,0.024377627102134477,-0.0004187469023421016
14,3.0,300.60221,569.4991200000001,0.0,0.0,0.0,0.0001419760114116568,0.0,0.0,-0.05590477122787135,-0.04792027026061245,-0.06928846857198943,-0.01213045085193229,0.014080780988914885,0.014461002075689788
15,3.0,300.37969,498.83145999999994,0.0,0.0,0.0,0.000152117155083918,0.0,0.0,-0.03805257305499656,-0.053232532818641945,-0.06034720315805524,-0.015179434900093585,-0.008311005410582373,0.034535713680409565
16,3.0,300.66737,230.10372,0.0,0.0,0.0,0.00016225829875617917,0.0,0.0,-0.04671870053677676,-0.005606898968482844,-0.017620186191476983,0.013521270363195486,-0.004440206225014236,0.039139217925990066
17,3.0,301.68617,244.16228999999998,0.0,0.0,0.0,0.00017239944242844035,0.0,0.0,-0.06405415737065315,-0.016200621788126885,0.006035539528511375,0.025276342450580774,-0.014625655216939787,0.03764151167492796
18,3.0,300.43054,504.44032999999996,0.0,0.0,0.0,0.00018254058610070155,0.0,0.0,-0.059603108761618846,-0.05456008195391085,-0.03917407575593026,0.02916747716035587,-0.035834939435633165,-0.006175563599580674
19,3.0,299.2071,236.55966,0.0,0.0,0.0,0.00019268172977296278,0.0,0.0,-0.005840602570922594,-0.021654488074131582,-0.04441314011348566,0.0038236109125110167,-0.03202454049382607,-0.000914236060165574
20,3.0,299.30832999999996,-22.869085000000002,0.0,0.0,0.0,0.00020282287344522396,0.0,0.0,0.026407925976759377,-0.01827978566207438,-0.0011765092117624189,0.030777215435224672,0.0015156987357378188,-0.017865216410159583
21,3.0,299.65229,263.1727,0.0,0.0,0.0,0.00021296401711748514,0.0,0.0,-0.01090880256411499,-0.007935499989772873,-0.06115362763439314,0.0028062164169519975,0.03273041509649047,0.0033119856759175367
22,3.0,300.52212000000003,470.17099,0.0,0.0,0.0,0.00022310516078974637,0.0,0.0,-0.07016926357916713,-0.03661676219954307,-0.036134216024919466,-0.011156605035071189,0.029201397733953572,0.01002333120507577
23,3.0,301.26652,323.55143,0.0,0.0,0.0,0.00023324630446200758,0.0,0.0,-0.04182819522687146,-0.04005172664804767,-0.016471634779123785,-0.02218115622435968,0.02054311888744798,-0.005941245663605294
24,3.0,301.05596,149.49569,0.0,0.0,0.0,0.00024338744813426875,0.0,0.0,-0.01043418304502369,-0.01885985918532318,-0.016148913609023683,-0.019139864770957582,0.0017063051637242084,0.0012971961139482885
25,3.0,300.58736,280.67175,0.0,0.0,0.0,0.00025352859180652993,0.0,0.0,-0.018929923403237982,-0.041914794673168165,-0.024472486563246375,0.00899312325007716,-0.006505350263953084,0.005656176056621115
26,3.0,300.06656,330.54438,0.0,0.0,0.0,0.00026366973547879116,0.0,0.0,-0.023932674532721077,-0.02460277836710518,-0.051941785940255156,0.0016444642809709884,-0.031539351762941675,0.011325956617034888
27,3.0,298.94274,329.06276,0.0,0.0,0.0,0.00027381087915105234,0.0,0.0,-0.016981706905963984,-0.039565409156551865,-0.043479747293616956,0.014410067006412884,-0.022079793724105977,-0.006573336407237795
28,3.0,299.23142,284.0554,0.0,0.0,0.0,0.0002839520228233136,0.0,0.0,-0.04762942289890805,-0.01858461992815918,-0.020131704896344582,0.013369009270668485,-0.008350798072484601,0.00015565918885736588
29,3.0,299.16975,160.96906,0.0,0.0,0.0,0.0002940931664955747,0.0,0.0,-0.03885288965973167,0.00985188624840547,-0.01992957264714568,0.025344798640586877,0.005175472477304365,0.012628680111603688
30,3.0,299.99325,279.60602,0.0,0.0,0.0,0.000304234310167836,0.0,0.0,-0.03184138135274967,-0.03138337710879817,-0.021768490869382776,0.02240336602429008,-0.017386060570370586,-0.016497543584180784
31,3.0,300.21801,378.18143,0.0,0.0,0.0,0.00031437545384009716,0.0,0.0,-0.028261124945905873,-0.02938936981300497,-0.057307216770781946,-0.006549389760999444,-0.02041560541536338,0.012326318175762888
32,3.0,300.44798,-11.395541,0.0,0.0,0.0,0.00032451659751235834,0.0,0.0,0.016953231538403685,0.004049203650550286,-0.017538475676912784,0.003117592630982437,-0.004442055406446736,-0.005927297465378714
33,3.0,300.23568,-33.98594,0.0,0.0,0.0,0.00033465774118461957,0.0,0.0,-0.001015285719450899,-0.006185419787278404,0.017531582536482484,-0.014251457902009386,0.02169458643358898,0.009202259185292272
34,3.0,299.99358,351.68568999999997,0.0,0.0,0.0,0.0003447988848568807,0.0,0.0,-0.06357231236509873,-0.0058095918489620745,-0.03752176476485986,-0.014275279411860384,0.02192074284265888,0.01130450813891809
35,3.0,298.99544,526.84228,0.0,0.0,0.0,0.0003549400285291419,0.0,0.0,-0.06774385593404803,-0.06525904548856634,-0.027143995432403773,-0.020172505438121283,0.02036526005764468,0.00898063585451975
36,3.0,299.45779,429.27992,0.0,0.0,0.0,0.0003650811722014031,0.0,0.0,-0.03544177205233057,-0.04674096772097436,-0.04830763577384246,0.011371794025058689,0.03052315411840077,-0.008851657932065621
37,3.0,300.41195,398.95448999999996,0.0,0.0,0.0,0.00037522231587366434,0.0,0.0,-0.038136721449301365,-0.03086822353270647,-0.05226725707112665,0.004039361445703936,0.012460915279296589,0.018430940285492182
