,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,4.0,300.0,195.69841,0.0,0.0,0.0,0.0,0.0,0.0,-0.015342820465468487,-0.02048824734153258,-0.02365636123045108,-0.016726968738073285,0.03692360168757577,-0.0008430909678391001
1,4.0,299.84296,-122.05051,0.0,0.0,0.0,0.0,0.0,9.966809583816794e-06,0.01818690406515768,0.02149635013102458,-0.002582946352116957,-0.0043915381001860656,-0.02210957922404558,-0.0028550031933668777
2,4.0,299.94052,-181.66002,0.0,0.0,0.0,0.0,0.0,1.9933619167633587e-05,0.011760223450893689,0.02499311067662798,0.018466775901778882,-0.03065222090288867,-0.0050912226566645555,0.005568776446720445
3,4.0,298.9612,41.123673,0.0,0.0,0.0,0.0,0.0,2.9900428751478136e-05,-0.003156458371693187,0.008159370810592202,-0.017503482071459183,0.0032116935730694767,-0.026888440584932474,-0.026727388534537877
4,4.0,298.65837999999997,155.17261000000002,0.0,0.0,0.0,0.0,0.0,3.986723833529493e-05,-0.03256075345999617,-0.02054609176324138,0.005938245531384204,0.008814434163141923,0.007433150247244813,-0.0015276308702404284
5,4.0,298.39744,72.94124000000001,0.0,0.0,0.0,0.0,0.0,4.9834047919111724e-05,-0.027874194116968773,0.001751238347358768,0.003950639544422767,0.012459371086144188,-0.001026961197703179,-0.03334705174959777
6,4.0,299.31197000000003,244.26067,0.0,0.0,0.0,0.0,0.0,5.980085750290076e-05,-0.04750703241932905,-0.018530207384539085,-0.008211904687201893,0.00020257213146481282,-0.018126861903981984,-0.004786287470869795
7,4.0,300.26587,551.7830799999999,0.0,0.0,0.0,0.0,0.0,6.976766708674531e-05,-0.04058880391655306,-0.0926796581982701,-0.034459816181669066,0.005267029857665375,-0.007734816789541982,-0.027129073298181074
8,4.0,300.29936000000004,615.61363,0.0,0.0,0.0,0.0,0.0,7.97344766705621e-05,-0.043709332541025256,-0.07581058518667223,-0.06761125290671113,0.004897433914089095,0.025517620604143077,0.000962407155422191
9,4.0,300.41931,348.0039,0.0,0.0,0.0,0.0,0.0,8.970128625440665e-05,-0.015436077978172286,-0.05770131634417654,-0.032647099593767874,-0.008004323685590243,-0.023675968633136178,-0.01930552508280698
10,4.0,299.46993,-38.164826,0.0,0.0,0.0,0.0,0.0,9.966809583819569e-05,-0.0037186351624007162,0.015031361570229884,0.0002884278420556117,-0.004000481823466816,-0.004339773381727285,0.026230396453238578
11,4.0,299.85452000000004,30.906166,0.0,0.0,0.0,0.0,0.0,0.00010963490542204024,-0.006827115533908843,-0.01023612203472659,0.007668534932925472,-0.02079955019625578,-0.030761785662701872,0.012111121079774589
12,4.0,299.73515,290.59167,0.0,0.0,0.0,0.0,0.0,0.00011960171500582928,-0.04410484965130976,0.0007119675693582284,-0.044939729230205956,0.023126377725895778,0.007872687096198722,0.029785420906092173
13,4.0,300.11331,571.3783900000001,0.0,0.0,0.0,0.0,0.0,0.00012956852458967383,-0.054742819582945655,-0.06688014938980684,-0.05206179325559895,-0.011976996150787489,-0.021972332471500378,0.011714891654669789
14,4.0,300.62484,652.43067,0.0,0.0,0.0,0.0,0.0,0.00013953533417349062,-0.058384930855394035,-0.06666054262938334,-0.07327715798814244,0.023062750685866277,0.025656432828092775,0.02136469955878168
15,4.0,300.90815,544.82005,0.0,0.0,0.0,0.0,0.0,0.00014950214375730742,-0.04517889678380996,-0.06297033642768834,-0.05746245681860295,-0.007134408350036284,0.0038491764284341364,-0.016407037045498483
