,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,5.0,300.0,-95.690516,0.0,0.0,0.0,0.0,0.0,0.0,0.03135048093105157,-0.0009151688379426322,-0.0013477841450659387,0.011679414728918489,-0.021638678332821275,0.008275374268165853
1,5.0,300.91344,-241.78202000000002,0.0,0.0,0.0,0.0,9.966809583820822e-06,0.0,0.05802015473989344,0.02794939753939077,-0.012473855496323688,0.001029787253557089,-0.005425809897360745,0.011713720337554188
2,5.0,300.27242,33.774209,0.0,0.0,0.0,0.0,1.9933619167641644e-05,0.0,0.01082475144181979,-0.004743774536424095,-0.016347492390121884,0.019601863246803283,0.004500646897454266,-0.004822077085601955
3,5.0,300.01392999999996,392.7643,0.0,0.0,0.0,0.0,2.9900428751462466e-05,0.0,-0.05548118303681645,-0.042287613967962566,-0.021621742870649878,-0.005533742817887895,0.019595428095418182,0.009182694947061431
4,5.0,298.82542,138.92852,0.0,0.0,0.0,0.0,3.986723833528329e-05,0.0,-0.04570614147334495,0.01949795951529878,-0.016022619076809384,0.018468221809671583,0.025153067403664475,0.0011290444227530089
5,5.0,298.99171,85.741055,0.0,0.0,0.0,0.0,4.983404791910411e-05,0.0,-0.0028035756845413776,-0.016106973160884483,-0.007152591224405793,-0.016979686485264583,0.019519106044885784,0.0092978525434516
6,5.0,299.53582,294.92461000000003,0.0,0.0,0.0,0.0,5.980085750292493e-05,0.0,-0.03180987738064047,-0.026176547276674077,-0.03166329251517367,0.012084865743183388,-0.01127282482154119,-0.01865632459798588
7,5.0,299.92674,706.40716,0.0,0.0,0.0,0.0,6.976766708674576e-05,0.0,-0.05789431617022415,-0.06496568121361353,-0.09187014026937691,-0.02651731240455497,-0.017727527880570783,0.004958120097028356
8,5.0,299.5141,436.87383,0.0,0.0,0.0,0.0,7.973447667056658e-05,0.0,-0.04009490934080946,-0.052619952205684946,-0.04008387504722046,-0.0033050116781292572,0.00934850552390066,-0.014036367197281588
9,5.0,300.09648,113.38268000000001,0.0,0.0,0.0,0.0,8.97012862543874e-05,0.0,-0.04003507590915436,-0.003844037629226976,0.00941360876800085,-0.012642631552230589,0.004005649601626837,0.03840784285805896
10,5.0,299.90146,83.991334,0.0,0.0,0.0,0.0,9.966809583820821e-05,0.0,-0.028290049183260474,-0.017478118394955982,0.02023689950847648,0.02212121842794428,0.015220596158905884,0.0016986616102698485
11,5.0,299.40132,80.06160799999999,0.0,0.0,0.0,0.0,0.00010963490542202905,0.0,-0.006630528295882194,-0.0004995396554957255,-0.017206661600415285,0.006042049153778824,-0.01896028746898468,0.03551715076701987
12,5.0,299.54618999999997,294.57537,0.0,0.0,0.0,0.0,0.00011960171500584987,0.0,0.00026193071359304875,-0.02958974609978057,-0.06021574206358104,0.016865120322957786,0.0036875595924337964,-0.014318489462374887
13,5.0,299.37606,611.32744,0.0,0.0,0.0,0.0,0.00012956852458967068,0.0,-0.030323953201741177,-0.07571774411975953,-0.07978658060557242,-0.00952783153984876,0.01143706557000049,0.01050102107462009
14,5.0,299.16562999999996,413.37343,0.0,0.0,0.0,0.0,0.00013953533417349152,0.0,-0.03326829384582496,-0.05368745070278886,-0.03869945725008907,-0.002739410203408737,0.012394185667460887,-0.04311432269805236
15,5.0,300.68127999999996,336.93618,0.0,0.0,0.0,0.0,0.00014950214375731235,0.0,-0.055422241265249354,-0.050197661317873454,0.0031997173621875173,-0.014128766487150685,0.004118436496758036,-0.01203359934112379
16,5.0,300.99293,398.24171,0.0,0.0,0.0,0.0,0.00015946895334113315,0.0,-0.06215536822650723,-0.04151668668237796,-0.017383481848866084,-0.01890966549398868,0.024167049413352078,0.007207726012697173
17,5.0,300.84362999999996,248.73157999999998,0.0,0.0,0.0,0.0,0.00016943576292495396,0.0,-0.03222420041278097,-0.010704849504486389,-0.03267914058843007,0.009604292608294882,0.006025196474140594,0.03518858010409247
18,5.0,300.35954,121.18533000000001,0.0,0.0,0.0,0.0,0.0001794025725087748,0.0,0.005155863858719145,-0.024719882720912478,-0.017273295966741584,0.0018701573307701581,-0.007742005495026453,0.00983888483107233
19,5.0,299.51949,168.47163,0.0,0.0,0.0,0.0,0.00018936938209259562,0.0,-0.028150273358465674,0.003020863318135997,-0.026081757729819074,0.016638704521862283,-0.02809700477420847,0.007045752512661633
20,5.0,299.03209,309.67632000000003,0.0,0.0,0.0,0.0,0.00019933619167641643,0.0,-0.038357660633606364,-0.029275989153315175,-0.02650022090186818,0.007213202122862622,0.008971313142999671,0.02692554884334477
21,5.0,299.08554,438.01335,0.0,0.0,0.0,0.0,0.00020930300126023726,0.0,-0.07742641410789212,-0.03607733621730586,-0.019641369868202283,-0.0062882395438259246,0.025955358832844475,0.005199519536627625
22,5.0,299.57896,807.37422,0.0,0.0,0.0,0.0,0.0002192698108440581,0.0,-0.08817812845600373,-0.07513293567879344,-0.08211053962417933,-0.02147557647747438,0.024121292052086178,0.011225654989635887
23,5.0,299.54514,602.0366799999999,0.0,0.0,0.0,0.0,0.00022923662042787893,0.0,-0.06407010390072694,-0.06923128377609573,-0.04970273120052766,0.0025268826161338976,-0.015070080896301186,0.0011326867528874789
24,5.0,301.25686,204.898,0.0,0.0,0.0,0.0,0.00023920343001169973,0.0,0.01967446362971838,-0.021556530094213877,-0.06040181125894464,0.01015833989080009,0.018674949148073983,-0.001251235798687359
25,5.0,301.36711,175.45228999999998,0.0,0.0,0.0,0.0,0.00024917023959552056,0.0,-0.026787582683228575,-0.021192020463489582,-0.005353511260325425,0.027176421462103972,-0.0018869443518019081,-0.015490972828839983
26,5.0,300.41875,290.59144,0.0,0.0,0.0,0.0,0.00025913704917934137,0.0,-0.036281335886439066,-0.03545273136541217,-0.016598475453141984,-0.0005390043587380885,0.03085000732240867,-0.013579085400651386
27,5.0,300.07422,83.649712,0.0,0.0,0.0,0.0,0.00026910385876316217,0.0,-0.05569543274396124,0.008972709806937512,0.02129529901968238,0.012638484319571288,0.007665346234860772,-0.013573058589056589
28,5.0,299.40681,-35.344073,0.0,0.0,0.0,0.0,0.00027907066834698303,0.0,0.033565901612196566,-0.030856877158086674,0.008034691601687323,0.001030197923822619,0.038196020898153764,0.011772826255637489
29,5.0,299.9221,144.78615,0.0,0.0,0.0,0.0,0.0002890374779308038,0.0,-0.007196120550026804,-0.013274482155589388,-0.02354077269879338,0.01072738418671039,0.0019349854774681982,0.012360824407918388
30,5.0,299.69024,664.33965,0.0,0.0,0.0,0.0,0.0002990042875146247,0.0,-0.027878149845359173,-0.07744285307751451,-0.0966216611028155,-0.04329369431025496,-0.006638813844599914,-0.0004596737153462636
31,5.0,299.20146,571.42183,0.0,0.0,0.0,0.0,0.0003089710970984455,0.0,-0.05479795964013755,-0.06184559132643464,-0.057054416950332545,-0.012996436195648386,-0.05332647934141375,-0.00994970014415895
32,5.0,300.55172999999996,372.42157000000003,0.0,0.0,0.0,0.0,0.0003189379066822663,0.0,-0.04224305629481506,-0.03402292097705086,-0.036940879628280965,0.00977307423707733,0.0019095188547548381,-0.0012951124664426488
33,5.0,301.10419,282.31388,0.0,0.0,0.0,0.0,0.00032890471626608717,0.0,-0.03685686700948956,-0.02377117867878268,-0.025188325467394176,0.03701376473447417,0.029306178940044673,0.012080902922042289
34,5.0,300.64434,106.13578000000001,0.0,0.0,0.0,0.0,0.0003388715258499079,0.0,-0.014839350676279886,-0.009298489269814442,-0.008124787774079122,0.009582010225345782,0.04137897079503646,0.008243770288271782
35,5.0,300.14328,209.33784,0.0,0.0,0.0,0.0,0.0003488383354337288,0.0,-0.017612566550724983,0.0012594533583233688,-0.04728036330570855,0.007743083187832811,-0.011013678002465388,0.03318245535035337
36,5.0,299.7724,192.44633000000002,0.0,0.0,0.0,0.0,0.0003588051450175496,0.0,-0.02325448901553938,-0.003173387855688997,-0.03207100105066137,0.007007145758676442,0.013291948560813187,0.012626838022921888
37,5.0,298.93577999999997,-78.15156,0.0,0.0,0.0,0.0,0.0003687719546013704,0.0,-0.006748467871746924,0.025308928573796775,0.005195661890846905,0.01936347690902638,-0.007360586746633354,0.000908439914956039
38,5.0,298.69173,179.15403999999998,0.0,0.0,0.0,0.0,0.00037873876418519125,0.0,-0.036149230364901266,-0.018724083671923183,0.0004149573165705986,-0.001009527165820074,-0.00931019980652018,-0.03149733836079527
39,5.0,298.73937,595.52409,0.0,0.0,0.0,0.0,0.000388705573769012,0.0,-0.07516936100663833,-0.03356924331102637,-0.07228584981905793,-0.017390574599566087,-0.039195507008795365,0.015802965706881285
40,5.0,299.53115,354.61619,0.0,0.0,0.0,0.0,0.00039867238335283286,0.0,-0.041059105976968255,-0.019968823929519482,-0.046766538100497954,-0.003796159434176767,0.01815259237702138,-0.017401985822192285
41,5.0,299.83232999999996,137.79971,0.0,0.0,0.0,0.0,0.00040863919293665377,0.0,0.017899912120083784,-0.015387338621862085,-0.04440024447946296,0.015598006489903385,0.004732151341876975,0.04571133741985775
42,5.0,300.51462000000004,129.44021,0.0,0.0,0.0,0.0,0.0004186060025204745,0.0,0.001969892044738208,0.0064152742552382735,-0.04773175913250786,0.04223387523565896,0.040552467754716964,-0.017459785660896683
43,5.0,300.47667,309.7042,0.0,0.0,0.0,0.0,0.0004285728121042954,0.0,-0.03331452135513727,-0.027700409565817572,-0.03312741155192097,0.02049615271881278,-0.023517086964455775,0.04655311925843516
44,5.0,300.24202,231.05726,0.0,0.0,0.0,0.0,0.0004385396216881162,0.0,-0.03194069911430157,-0.026687134134565072,-0.01160780327810099,0.03221899129401687,0.010713902894129889,-0.04271147776304466
45,5.0,300.05368,182.85957,0.0,0.0,0.0,0.0,0.000448506431271937,0.0,-0.027047037530334772,-0.007327669087984634,-0.021210037063517678,0.025230454380051975,-0.01133087290652009,0.013767047347201787
46,5.0,299.7704,58.12550400000001,0.0,0.0,0.0,0.0,0.00045847324085575785,0.0,-0.014895762362347284,-0.02903213430474857,0.02625919504758077,0.004300341436860656,0.002686533544290217,-0.05469610774008554
47,5.0,299.68635,17.867559,0.0,0.0,0.0,0.0,0.0004684400504395786,0.0,0.009428411541361773,0.0025192580104564074,-0.017378961740169983,-0.028242638197831373,-0.038541218995222164,0.0026562128456477973
48,5.0,299.59962,304.42013,0.0,0.0,0.0,0.0,0.00047840686002339946,0.0,-0.052206400256870546,-0.020227581660556878,-0.020102135218676282,-0.00998200782624747,0.027764166301859874,-0.03389177399010767
49,5.0,299.72923,455.06172000000004,0.0,0.0,0.0,0.0,0.0004883736696072203,0.0,-0.05773454182820564,-0.03825164326239326,-0.042341214898252565,0.010189840823158991,0.017911905961517482,0.0060661755505849145
50,5.0,299.75543,163.67815,0.0,0.0,0.0,0.0,0.0004983404791910411,0.0,-0.040600903135997166,-0.008133727882361443,-0.001019440348835929,0.027169266903147873,0.02127790658171588,0.007188757362875113
51,5.0,299.54181,247.76742000000002,0.0,0.0,0.0,0.0,0.0005083072887748619,0.0,-0.02073803983568518,-0.02359539295868398,-0.03098167511990327,0.013494467871550288,-0.014408269500735487,0.018661265205473482
52,5.0,299.87712999999997,539.2234599999999,0.0,0.0,0.0,0.0,0.0005182740983586827,0.0,-0.039620111489700564,-0.049192233508645454,-0.07509812141860753,0.0059899240222594735,0.011287220065711888,0.05859134408626544
