,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,9.0,300.0,133.47647,0.0,0.0,0.0,0.0,0.0,0.0,-0.026639171941081577,-0.0012696129131010388,-0.012664730536911589,0.002226226486836448,-0.006828949719239863,-0.0026185497314807375
1,9.0,300.51357,-107.52428,1.0009674697553095e-05,0.0,0.0,0.0,0.0,1.5276178857159817e-06,0.028026739932773874,0.004355757807354826,0.00030219725230204675,0.0026312365346578275,-0.00979634160044864,-0.0007249017778122352
2,9.0,300.3794,68.81360600000001,1.9986314164999186e-05,0.0,0.0,0.0,0.0,3.0501941282734535e-06,-0.001235582097892459,0.0004895519783325186,-0.02017158743353068,0.012637130617437688,-0.008143500983550971,-0.008480085137544242
3,9.0,299.0152,191.24749,2.999598886255228e-05,0.0,0.0,0.0,0.0,4.577812013989435e-06,-0.02711629317466977,-0.00967047982735205,-0.02134768810285278,0.01184627168913599,0.006870715989686874,0.013461052909752486
4,9.0,298.5157,-147.30929,4.000566355988333e-05,0.0,0.0,0.0,0.0,6.105429899705417e-06,0.0021413881705385582,0.009141472082643052,0.03349548680974717,0.006820062705262784,-0.00015070132572056285,-0.016473926750849986
5,9.0,298.75703,-102.09555999999999,5.001533825721438e-05,0.0,0.0,0.0,0.0,7.633047785421399e-06,-0.0036373351154520266,0.007857868212161211,0.026813966702582473,-0.017808094435772085,-0.0006554214554000614,0.0034044155659396563
6,9.0,299.64148,465.03809,5.999197772488252e-05,0.0,0.0,0.0,0.0,9.15562402797887e-06,-0.03264712087201997,-0.06065316922450174,-0.048059676249120754,-0.006152460078750535,-0.005694206980574474,-0.01827744201459308
7,9.0,300.19973,637.44302,7.000165242221357e-05,0.0,0.0,0.0,0.0,1.0683241913694852e-05,-0.04417334333156955,-0.07482687132708724,-0.07476654748238373,-0.004637817250941926,0.007498880591831893,0.0026629254249102776
8,9.0,299.76238,393.85048,8.001132711976666e-05,0.0,0.0,0.0,0.0,1.2210859799410834e-05,-0.010926148392576888,-0.04681026997481395,-0.06198429310612344,0.013161202820909589,0.005952705927536334,-0.0037684622426932667
9,9.0,299.73559,283.64815,8.998796658721275e-05,0.0,0.0,0.0,0.0,1.3733436041968305e-05,-0.025058767256607776,-0.028521675116370177,-0.03264151151946637,-0.007104757105734933,0.012154996835604788,0.010440416559638892
10,9.0,299.79942,127.61498,9.999764128476585e-05,0.0,0.0,0.0,0.0,1.5261053927684287e-05,-0.03824857007483997,-0.007672345259926523,0.007129147960817123,-0.005211580151242915,0.0012622175045961688,0.005626306659573235
11,9.0,300.23451,101.49741,0.0001100073159820969,0.0,0.0,0.0,0.0,1.678867181340027e-05,-0.04091436927968386,-0.011395769548924888,0.02145746159218658,-0.012605882997603788,0.012515857752718988,-0.004779948780894216
12,9.0,299.81687,324.06537000000003,0.00011998395544954299,0.0,0.0,0.0,0.0,1.831124805595774e-05,-0.03547735334284217,-0.03492364256069517,-0.028106785677423772,0.006148508099385505,-0.006802255341380333,0.005456000089390285
13,9.0,300.17561,256.57922,0.00012999363014709608,0.0,0.0,0.0,0.0,1.9838865941673722e-05,-0.02091679032557648,-0.009496272750909151,-0.04758061160184075,-0.005114187666206025,-0.0017828383755774486,0.0038445738411798966
14,9.0,299.8524,67.253941,0.00014000330484442713,0.0,0.0,0.0,0.0,2.136648382741746e-05,0.03336673311954017,-0.031185277594997268,-0.02262497496691118,-0.005574532720538545,-0.004777109147488965,-0.0040364378138653964
15,9.0,300.02542,438.18037000000004,0.00015001297954198023,0.0,0.0,0.0,0.0,2.2894101713105686e-05,-0.04417244964498136,-0.04712711226783386,-0.04189633122984596,0.011765947300708589,0.010916580271882591,0.006297367711326805
16,9.0,300.33021,744.52608,0.00015998961900942632,0.0,0.0,0.0,0.0,2.4416677955690913e-05,-0.10698559247865591,-0.06225493018133324,-0.057076816870293236,0.013491445346501988,0.0095203075499062,0.02166019064569438
17,9.0,300.26968,325.91699,0.00016999929370675737,0.0,0.0,0.0,0.0,2.594429584137914e-05,-0.045222429047856255,-0.03899278504803826,-0.014855411703614986,0.009301771490863371,-0.004620187003176956,0.013134374998011886
18,9.0,299.94451000000004,187.18874,0.00018000896840431047,0.0,0.0,0.0,0.0,2.747191372709512e-05,0.0048469791253595955,-0.033344746605620264,-0.02840293639015157,0.009420417302047802,-0.006242365861448545,0.006407894045484904
19,9.0,299.95293,351.83419,0.00018998560787175656,0.0,0.0,0.0,0.0,2.8994489969652593e-05,-0.027102142123773175,-0.03415676422251017,-0.04568990211399225,0.0019724368223643578,0.01073980865943659,0.01716366129267148
20,9.0,299.32181,230.68388,0.0001999952825690876,0.0,0.0,0.0,0.0,3.0522107855368574e-05,0.002076639462648358,-0.038192965949102264,-0.03400581427561257,0.0052765670742316246,-0.005449179295017125,0.0015831231331670885
21,9.0,299.43855,160.89753000000002,0.0002100049572666407,0.0,0.0,0.0,0.0,3.204972574111231e-05,-0.03284958546725167,-0.009314049244975092,-0.006745196289824044,-0.006852849148023554,-0.008280775296498892,0.006242866609647964
22,9.0,300.29064,405.88241,0.00022001463196397175,0.0,0.0,0.0,0.0,3.357734362680054e-05,-0.07440105499906242,-0.040209674100135866,-0.00876738683317371,-0.006257236117266124,-0.01007910150382987,-0.00016642536633740482
23,9.0,299.83762,304.19826,0.0002299912714316399,0.0,0.0,0.0,0.0,3.5099919869385765e-05,-0.03796745295384586,-0.03869548125669667,-0.015805742012155285,-0.00906779137247133,0.018303687218683282,-0.016925129046880184
24,9.0,300.74318999999997,172.55811,0.00024000094612897094,0.0,0.0,0.0,0.0,3.662753775507399e-05,0.010200221570433491,-0.04499397560080966,-0.017659603646867184,-0.008947081368183181,0.0062298687386901745,-0.009918454145525212
25,9.0,300.91415,413.23671,0.00025001062082652403,0.0,0.0,0.0,0.0,3.815515564081773e-05,-0.01156997155911729,-0.05281501500893614,-0.06122865576454785,0.011264964027265388,0.004651281723570766,-0.0028181356831783375
26,9.0,299.89041000000003,318.37032,0.0002599872602939701,0.0,0.0,0.0,0.0,3.9677731883347445e-05,-0.017912012352777985,-0.03238119439652507,-0.046483419810556356,0.01121847915242769,-0.0047180699012622455,-0.0010710558155549788
27,9.0,299.7207,50.589927,0.0002699969349915232,0.0,0.0,0.0,0.0,4.120534976909118e-05,-0.014529726776972384,-0.01988597046884248,0.019037622769617082,0.007666878471661993,-0.0076220070962835324,-0.007173333264552873
28,9.0,300.30984,104.17501999999999,0.00028000660968885427,0.0,0.0,0.0,0.0,4.2732967654807164e-05,-0.043527241365554255,-0.002266609468246938,0.014127245598750587,0.0005162604707659415,-0.02391070321755268,0.021612623619749877
29,9.0,300.36664,257.81602999999996,0.0002900162843861853,0.0,0.0,0.0,0.0,4.426058554049539e-05,-0.03185284425113097,-0.010245033569356089,-0.036271757633243765,-0.006146574210244645,-0.006730480858621743,0.02081188043672268
30,9.0,299.63497,223.45942000000002,0.00029999292385385345,0.0,0.0,0.0,0.0,4.578316178308062e-05,-0.01118147019252519,-0.01928793303457078,-0.037456680671186564,-0.0012802590305767288,0.0032807000592048868,0.0028681203238614373
31,9.0,299.80622999999997,343.95526,0.0003100025985511845,0.0,0.0,0.0,0.0,4.731077966876884e-05,-0.023881026135373778,-0.011328131051749488,-0.06934465126353423,0.0008474681576085951,0.017040587882525084,0.005492514583243985
32,9.0,300.0867,380.91508999999996,0.0003200122732487376,0.0,0.0,0.0,0.0,4.883839755451258e-05,-0.035498436037672866,-0.02947968586066847,-0.050810552998611154,-0.006446545179824474,-2.5499429725097774e-06,-0.005921702298326515
33,9.0,300.07534,133.22637,0.0003299889127161837,0.0,0.0,0.0,0.0,5.0360973797042297e-05,-0.03391340789299277,-0.007163596843016963,0.0005795153136362084,0.008666099921377473,-0.0029966490725462373,0.013602552272967385
34,9.0,300.10955,170.25355,0.0003399985874137368,0.0,0.0,0.0,0.0,5.1888591682786034e-05,-0.04310102683024016,-0.0072440147544285925,-0.0014077852696125885,0.018587754923968584,0.0046222930435098055,-0.01091987232145749
35,9.0,299.02757,312.15285,0.00035000826211106784,0.0,0.0,0.0,0.0,5.3416209568502016e-05,-0.02786983511503857,-0.033280766954555965,-0.03373606987374087,0.008555618879498841,0.016137728341169787,0.008038721094685002
36,9.0,299.09051,20.752182,0.00035998490157873597,0.0,0.0,0.0,0.0,5.493878581105949e-05,0.02064681490268198,-0.0002931870879078127,-0.026661772484562075,-0.004947011025581975,0.009385113135438551,-0.009370369738533491
37,9.0,299.87068999999997,-9.6405162,0.000369994576276067,0.0,0.0,0.0,0.0,5.646640369677547e-05,0.03804511452101046,-0.012954154282225487,-0.02216048389581948,-0.012929807908822687,0.007133149893412083,0.007574651029009852
38,9.0,299.96211,330.54747000000003,0.0003800042509736201,0.0,0.0,0.0,0.0,5.799402158249145e-05,-0.031167602460252866,-0.03060019253675387,-0.03871038312591736,-0.004729479401363276,-0.01016522796497989,-0.0015739826040149884
39,9.0,299.24677,295.98425,0.00039001392567095117,0.0,0.0,0.0,0.0,5.952163946820743e-05,-0.07111159934441844,-0.004432173583521476,-0.014428050169187686,-0.003586906063275067,-0.011855550020301689,0.00948870093556187
40,9.0,299.92952,151.8247,0.0003999905651386193,0.0,0.0,0.0,0.0,6.10442157107649e-05,-0.03172964114497177,-0.02202740464093558,0.0076061286566164515,0.008941648523797002,-0.025013171002107773,-0.01030107339263679
41,9.0,299.45261,278.44111000000004,0.00041000023983595035,0.0,0.0,0.0,0.0,6.257183359648089e-05,-0.01959070837645238,-0.025272683604469676,-0.03977575379781126,0.0024024076784491775,-0.01111808531926959,-0.004061899876953306
42,9.0,299.92672000000005,285.42769,0.0004200099145332814,0.0,0.0,0.0,0.0,6.409945148219687e-05,-0.018264133987779683,-0.020812542089037978,-0.04768621455376296,0.0034538313680166164,0.007170206982694332,-0.002519419725172367
43,9.0,300.39785,125.54196999999999,0.0004299865540007275,0.0,0.0,0.0,0.0,6.562202772475434e-05,0.026602735467485577,-0.02149208232160338,-0.043272277242891254,-0.0040294852969792365,0.022601124072807278,-0.02015032336693208
44,9.0,300.49092,96.65907299999999,0.0004399962286982806,0.0,0.0,0.0,0.0,6.714964561047032e-05,-0.01897119713281138,-0.0038795840639351364,-0.006531163316875635,0.0028358299683496273,0.015221813072275985,0.01003720877977038
45,9.0,300.16764,118.50955,0.0004500059033958337,0.0,0.0,0.0,0.0,6.86772634961863e-05,-0.038315156818411564,-0.0048993294010511645,0.007190542912201332,-0.008715999753027202,0.01144871085339979,0.011908328191510489
46,9.0,300.09196000000003,120.92546000000002,0.00046001557809316473,0.0,0.0,0.0,0.0,7.020488138190228e-05,-0.02603985578518368,-0.015533273994014786,0.004814808029384556,-0.008117747813709332,-0.005238874981111705,0.006091442461703563
47,9.0,299.82339,315.17823,0.0004699922175606108,0.0,0.0,0.0,0.0,7.172745762445976e-05,-0.035747992444552165,-0.012229103921418589,-0.04782921555362605,-0.00923979574452184,0.0015431365351957185,0.005613877323246555
48,9.0,299.69694,491.02109,0.0004800018922579419,0.0,0.0,0.0,0.0,7.325507551017574e-05,-0.03215729753517817,-0.05436039265070305,-0.06274045835100114,0.0015024326574785587,0.016112489294428885,0.010162719157732291
49,9.0,299.64133,243.39235,0.000490011566955495,0.0,0.0,0.0,0.0,7.478269339591948e-05,-0.005733061068909074,-0.013706889675514686,-0.05454524695919674,0.006616857728183014,0.012739299664770987,0.014594209000086287
50,9.0,299.35303999999996,169.29325,0.0004999882064229411,0.0,0.0,0.0,0.0,7.630526963844919e-05,-0.031073546506470272,-0.018633098879193684,-0.0017542766791086282,0.007605383715142932,0.00022975565581011777,-0.004840097029355386
51,9.0,298.92478,312.94824,0.0005099978811204942,0.0,0.0,0.0,0.0,7.783288752419293e-05,-0.07791963487231923,-0.01157809275866879,-0.0056307224035090355,0.013195250050769786,-0.013677589522372987,0.012415731417587289
52,9.0,300.08139,168.17621,0.0005200075558178252,0.0,0.0,0.0,0.0,7.936050540988115e-05,-0.017641752206605382,-0.008245826375374701,-0.025233791012631276,0.01611774806244788,-0.023731711574137577,-0.007405286578769883
53,9.0,300.08429,32.486154,0.0005299841952852713,0.0,0.0,0.0,0.0,8.088308165241087e-05,0.015625031896570586,-0.02919052353388037,0.003690512203225196,0.004102687043828686,-0.02089227372615688,-0.009149178356278601
54,9.0,299.37719,160.91796000000002,0.0005399938699828244,0.0,0.0,0.0,0.0,8.241069953815461e-05,0.036823502710196764,-0.030191781818946873,-0.05554676362303875,-0.0028684924906231674,-0.012692550331657188,-0.013386643875408884
55,9.0,300.30555,164.79176999999999,0.0005500035446801554,0.0,0.0,0.0,0.0,8.393831742387059e-05,0.004748636617028946,-0.031705786197867465,-0.02313543415528958,-0.008046567500809383,0.005562232978899655,-0.0038565568408375265
56,9.0,299.7402,68.958851,0.0005600132193777085,0.0,0.0,0.0,0.0,8.546593530961433e-05,-0.013597763652994787,-0.024390833803937875,0.017026828959417182,-0.003913006219808647,0.01854278992428088,-0.008230371068949383
57,9.0,299.59131,215.15536,0.0005699898588451546,0.0,0.0,0.0,0.0,8.698851155214404e-05,-0.05231823976315825,-0.02110361641876478,0.008019997752712152,0.004632811086172855,0.0067626655321481235,0.0038912326910597664
58,9.0,300.18712,322.86148,0.0005799995335427077,0.0,0.0,0.0,0.0,8.851612943788778e-05,-0.03507798892192796,-0.048001985841427154,-0.015061854318739286,-0.005050106284831685,-0.006517133248040974,0.002995314216864497
59,9.0,299.82289,130.38758,0.0005900092082400388,0.0,0.0,0.0,0.0,9.0043747323576e-05,0.009673119039887521,-0.02325935565576968,-0.02604833060902008,-0.005462564936788184,-0.004207592069082006,-0.013276282701017088
60,9.0,299.22094,189.48558,0.0005999858477074849,0.0,0.0,0.0,0.0,9.156632356610572e-05,0.008393414358440501,-0.027130284132050576,-0.03886201499013226,-0.018111822232747682,-0.0036629418706542165,0.0012879777671885087
61,9.0,299.53342999999995,314.79882000000003,0.000609995522405038,0.0,0.0,0.0,0.0,9.309394145184946e-05,-0.01989933321116128,-0.02558769191480858,-0.05020395664074475,-0.0037195151701125665,0.004197156606302106,-0.005597045313910365
62,9.0,299.04773,97.326102,0.0006200051971025911,0.0,0.0,0.0,0.0,9.46215593375932e-05,-0.043510920946193556,0.005835705837164324,0.008090509928496163,-0.013272750511168488,0.0018143443741868482,0.016047367710501886
63,9.0,300.06961,96.362723,0.0006300148717999221,0.0,0.0,0.0,0.0,9.614917722330918e-05,-0.026416663232371677,-0.011958214546933889,0.00908301565787385,0.00934113230557298,-0.006250664582417564,-0.013318992205982186
64,9.0,299.92388,226.1066,0.0006399915112673682,0.0,0.0,0.0,0.0,9.76717534658389e-05,-0.04257777941234966,-0.01020208493736739,-0.015950896168480885,0.0035244761782387162,-0.01071100702534409,0.015673915134394985
65,9.0,299.33046,130.45531,0.0006500011859649213,0.0,0.0,0.0,0.0,9.919937135158263e-05,0.018052836891426283,-0.01028700340174819,-0.047420991273837455,0.023943346082774274,-0.00959621376259756,0.0007143048333638984
66,9.0,299.84369,178.65895,0.0006600108606622523,0.0,0.0,0.0,0.0,0.00010072698923727086,0.022080516171427277,-0.033239730325505965,-0.04314864451868966,0.013497542072353685,-0.005213760057508055,-0.01079316033020199
67,9.0,300.2819,397.77352,0.0006699875001296984,0.0,0.0,0.0,0.0,0.00010224956547980057,-0.025779474827486076,-0.03999905486809936,-0.055134686966369945,0.01096223630813849,0.0021996665672651882,0.023689695132240875
68,9.0,300.49222000000003,232.791,0.0006799971748272515,0.0,0.0,0.0,0.0,0.00010377718336554431,-0.054575138850396845,-0.018328814807913183,0.0021413031588551684,-0.012075211496230588,0.011103125694793188,0.0028620227874096567
69,9.0,300.06266,121.0071,0.0006900068495248046,0.0,0.0,0.0,0.0,0.00010530480125128805,-0.01998054216692598,-0.01898058793473818,0.0021779923370261077,-0.014060792604192185,0.0062708745649371345,0.016402963780096484
70,9.0,299.56635,228.95987999999997,0.0006999834889920287,0.0,0.0,0.0,0.0,0.00010682737749379001,-0.02225267445616798,-0.016326614371811383,-0.03101879857706707,-0.017961449838407084,-0.0006802279254082694,-0.010903613710352889
71,9.0,299.82242,170.79313,0.0007099931636895818,0.0,0.0,0.0,0.0,0.00010835499537953375,0.01955400237832978,-0.027622947608922675,-0.04384790259820105,-0.006931547574015483,-0.01111135125910499,0.008827969461952752
72,9.0,300.40816,-17.106370000000002,0.0007200028383871349,0.0,0.0,0.0,0.0,0.00010988261326527748,0.04953296418602295,-0.019537628256713784,-0.024795426595368077,0.008915695642360652,-0.0021351380386217178,-0.03674347520404867
73,9.0,299.99404,-4.0245451,0.000730012513084688,0.0,0.0,0.0,0.0,0.00011141023115099347,0.008786493386334382,-0.002271803388259538,-0.005291328810963495,0.007560747819087712,-0.005845809460536474,0.01060449620133229
74,9.0,299.50477,127.14233999999999,0.000739989152551912,0.0,0.0,0.0,0.0,0.00011293280739349543,-0.04511154503641286,-0.01140553120038829,0.017868978607780882,0.014332735758780886,0.0017141422479476686,-0.012814658114458288
75,9.0,299.86778,225.52372000000003,0.0007499988272494651,0.0,0.0,0.0,0.0,0.00011446042527923916,-0.03493973398553327,-0.02048140689010748,-0.013132438677070786,0.002322968769284168,-0.0006026705608839535,0.005267104432872735
76,9.0,300.32532000000003,339.99436000000003,0.0007600085019470182,0.0,0.0,0.0,0.0,0.0001159880431649829,-0.045597844289406865,-0.03900460157070446,-0.01874735093396948,0.007520992647439182,-0.0033652819219024666,0.004603438789624035
77,9.0,300.1293,364.25789,0.0007699851414142422,0.0,0.0,0.0,0.0,0.00011751061940751262,-0.018298746611195682,-0.023028391374975275,-0.06939816606756573,-0.003004054106927057,-0.01158922331101729,0.013948538678613587
78,9.0,300.24877000000004,164.42181000000002,0.0007799948161117953,0.0,0.0,0.0,0.0,0.0001190382372932286,0.004507669531247345,-0.008655465354952922,-0.04583232758779855,-0.003097894643738397,-0.012542710906869188,0.02001520038659648
79,9.0,300.50324,155.82523,0.0007900044908093484,0.0,0.0,0.0,0.0,0.00012056585517897234,-0.02795747516918797,0.0004631951242137996,-0.019872697905782583,-0.00027716237545629676,-0.017135904319432085,0.012862687182448386
80,9.0,300.54679,407.59915,0.0008000141655066795,0.0,0.0,0.0,0.0,0.00012209347306468832,-0.07220691966276814,-0.014554359900153488,-0.037138684286302764,-0.0031365922862575573,0.00046363065963678365,0.039162310909019164
81,9.0,300.58527999999995,217.87112000000002,0.0008099908049739035,0.0,0.0,0.0,0.0,0.00012361604930719028,-0.03286850588636897,-0.021080344090467978,-0.012278529248046488,-0.005531886847679725,0.00877751355864814,-0.007495667373114773
82,9.0,300.21547999999996,-65.006688,0.0008200004796714566,0.0,0.0,0.0,0.0,0.00012514366719293402,0.013290710369190986,0.002832840171279557,0.0036368599011551267,-0.005038332217344676,0.015997695150849586,-0.004098686124483827
