,case,Temp,Pressure,e11,e22,e33,e12,e23,e13,s11,s22,s33,s12,s23,s13
0,10.0,300.0,115.35948,0.0,0.0,0.0,0.0,0.0,0.0,-0.03680656319502496,-0.009047801569198492,0.01078796337043909,-0.0012351634229511388,-0.017669497020843583,0.005576842221491475
1,10.0,300.33392000000003,77.58665400000001,0.0,9.99598741935337e-06,0.0,0.0,0.0,0.0,-0.0014581193802551786,-0.018381286977591782,-0.003744999119402637,-0.01051408288165919,0.005674146047144614,0.005587258533844485
2,10.0,300.36924,84.841564,0.0,1.999197483870674e-05,0.0,0.0,0.0,0.0,-0.011682520340474989,-0.008003072423041753,-0.006104124603930194,-0.007039569052601374,0.004236951598679566,0.007776103184741632
3,10.0,300.18331,99.245632,0.0,2.9987962258060108e-05,0.0,0.0,0.0,0.0,0.03208050736309957,-0.032704388754421866,-0.029544311965296572,0.005088629850983665,0.029552990452403075,-0.008635688030226053
4,10.0,298.22892,16.264335,0.0,3.998394967741348e-05,0.0,0.0,0.0,0.0,0.004295627290770406,0.00016960159129337385,-0.009409180662413832,-0.005142476798397946,-0.014157563054992685,-0.002048893027209998
5,10.0,298.73998,301.09485,0.0,5.0012927154119424e-05,0.0,0.0,0.0,0.0,-0.03200608211675437,-0.03328164240264237,-0.026237590528948574,0.001970672449965228,0.005030948967841005,-9.352214120591671e-05
6,10.0,300.12388,382.0483,0.0,6.000891457369484e-05,0.0,0.0,0.0,0.0,-0.07116168328361133,-0.029916382468267073,-0.015055077702070487,-0.0007441842717202693,-0.007399616633860303,-0.0007767857963377892
7,10.0,300.15573,220.83119,0.0,7.000490199282616e-05,0.0,0.0,0.0,0.0,-0.02243113313003048,-0.025543688489465775,-0.019152344972439284,0.010775031259412789,0.009274405936137601,-0.01157499221336279
8,10.0,299.72924,280.8457,0.0,8.000088941195749e-05,0.0,0.0,0.0,0.0,-0.02164615003905868,-0.03725816673809476,-0.026465761279217275,0.007273977269160663,-0.01042542349790919,-0.006886581966377723
9,10.0,300.14757000000003,475.34193,0.0,8.999687683131086e-05,0.0,0.0,0.0,0.0,-0.027424899770876875,-0.03851718672935037,-0.07854998890528034,0.0024668111720303077,0.0005125911577813085,0.0008058226260435013
10,10.0,299.31483,295.20604,0.0,9.999286425066423e-05,0.0,0.0,0.0,0.0,-0.03756082758271506,-0.014797498380899386,-0.037376940928066864,0.012916739009032886,0.0036269828405053367,0.008199145943267701
11,10.0,299.84256,149.89569,0.0,0.0001099888516700176,0.0,0.0,0.0,0.0,-0.03056158770794387,-0.009116991757577032,-0.005885967399099755,-0.00845785645685044,0.01830739166104888,0.023612146035837375
12,10.0,299.77914,226.40951,0.0,0.00011998483908937096,0.0,0.0,0.0,0.0,-0.05298749044095815,-0.004998297793968586,-0.010837047231783291,-0.010412404247374291,-0.012904290218304288,0.02150783532090808
13,10.0,299.38042,208.52621000000002,0.0,0.0001300138165660769,0.0,0.0,0.0,0.0,-0.03186836724266297,-0.021517560495367877,-0.01000083289853036,-0.017293768685012083,0.006304015138607854,0.018729876422744884
14,10.0,300.28684,372.25712999999996,0.0,0.00014000980398543028,0.0,0.0,0.0,0.0,-0.02130932746731688,-0.057609997178914046,-0.034237546599982766,-0.009553165730774051,0.012431794471422588,-0.017223131980790785
15,10.0,300.33361,386.08867999999995,0.0,0.00015000579140478365,0.0,0.0,0.0,0.0,-0.015135128512970884,-0.04172878120656006,-0.060497408366129345,-0.007729417281084093,0.018101561048984985,-0.005587916437134415
16,10.0,299.8884,206.97421,0.0,0.00016000177882391498,0.0,0.0,0.0,0.0,-0.013798799565585487,-0.04002535985394546,-0.00909083115987018,-0.0035243653286777766,-0.015904832805684783,-0.015628053408368786
17,10.0,300.27864,140.24249,0.0,0.00016999776624326834,0.0,0.0,0.0,0.0,-0.013562005043715686,-0.012478416135023788,-0.016589793926285186,0.0055760483400381245,-0.002001898690222018,0.0035357152496729265
18,10.0,300.61188,310.3161,0.0,0.00017999375366239967,0.0,0.0,0.0,0.0,-0.06254401246136344,-0.018406104512291084,-0.013378228833328386,0.025113400688749676,-0.006030202132284614,0.010000834215755492
19,10.0,299.72264,361.07142999999996,0.0,0.00018998974108197508,0.0,0.0,0.0,0.0,-0.02898085574368777,-0.03080333904930287,-0.04997250296015205,0.011673819561866288,0.008795040049602871,0.017735220475329983
20,10.0,299.69722,210.92632000000003,0.0,0.00019998572850132845,0.0,0.0,0.0,0.0,-0.011235366991844388,-0.011119532240412388,-0.04176143521753276,0.002685525360440717,-0.01797002801375368,0.016996633093187087
21,10.0,299.20207,228.02253,0.0,0.0002100147059780344,0.0,0.0,0.0,0.0,-0.00036106295918413966,-0.030164492967253674,-0.038787597849787865,-0.013397957826025488,-0.0040852392824067265,-0.0004285634922259236
22,10.0,300.39409,393.44919,0.0,0.00022001069339738777,0.0,0.0,0.0,0.0,-0.05979664155721904,-0.020563699010229083,-0.039238389779527566,0.015375446105438383,0.003802104679138517,0.024047173820521274
23,10.0,300.31791,394.47346,0.0,0.00023000668081674114,0.0,0.0,0.0,0.0,-0.058508742924863355,-0.03619579427324676,-0.025205544639593576,0.0033253790183893567,-0.00040500852794622964,0.0008989166204461632
24,10.0,300.74512000000004,288.34609,0.0,0.00024000266823587246,0.0,0.0,0.0,0.0,-0.05513303232895665,-0.028524233572872672,-0.003992744949678246,-0.0019755778976743577,-0.018499329600991682,0.009082607824708601
25,10.0,300.54832000000005,216.60241000000002,0.0,0.00024999865565522583,0.0,0.0,0.0,0.0,-0.02618915312116818,-0.014952233830170586,-0.024700337126483476,-0.01917844629501528,-0.014870947867398288,-0.006472602223371104
26,10.0,300.14664,182.28026,0.0,0.0002599946430745792,0.0,0.0,0.0,0.0,-0.007362719840743873,-0.021320096289379684,-0.026725831169134174,0.014742412025962787,0.0037828292171861767,-0.019357384236175085
27,10.0,299.89687999999995,165.30516,0.0,0.00026999063049393257,0.0,0.0,0.0,0.0,-0.006228801482359844,-0.012898728488505385,-0.03112110947941437,-0.0053580817275514945,0.007455281554604003,-0.007738156157896553
28,10.0,299.68655,234.47387999999998,0.0,0.00027998661791328594,0.0,0.0,0.0,0.0,-0.04506340451091176,0.003293249364343407,-0.029504048446072868,-0.006238535269445494,-0.0040711358542648264,0.005862386029522454
29,10.0,299.48028,121.55991999999999,0.0,0.0002900155953899919,0.0,0.0,0.0,0.0,-0.029872430718679368,0.004821815971051186,-0.01190056669574449,-0.003388960056864317,-0.0038749794501806967,0.02412194053215018
30,10.0,300.04199,103.24467,0.0,0.00030001158280934526,0.0,0.0,0.0,0.0,-0.03992938581772356,0.01014584651706709,-0.0016002621572835784,0.010232713461390189,0.0027223809142780772,0.009000855564240282
31,10.0,299.75813,327.80931,0.0,0.0003100075702286986,0.0,0.0,0.0,0.0,-0.03397724366254287,-0.018716042519129582,-0.046952560686356955,0.016567044435039983,0.007730523446218262,0.029618631833631368
32,10.0,300.47783,453.35352,0.0,0.00032000355764782995,0.0,0.0,0.0,0.0,-0.04240507194605476,-0.04303381592460696,-0.052369259945443544,-0.005868843168434724,-0.015126722590141285,-0.008519645157223511
33,10.0,300.03375,299.13555,0.0,0.0003299995450671833,0.0,0.0,0.0,0.0,-0.016146263960012182,-0.03322787935233636,-0.04155559548621796,0.004350431050254116,-0.005152040156816776,-0.0016232367927009983
34,10.0,300.36989,188.60896,0.0,0.0003399955324865367,0.0,0.0,0.0,0.0,-0.03759172157826406,-0.026707095161535074,0.006966403985405544,-0.01215638296174159,0.010708389800335791,-0.02281815515147658
